"","apt1_apt_name","apt2_apt_name","total_pax_tp","apt1_id","apt2_id"
"1","GATWICK","ABERDEEN",24.105,0,6
"2","GATWICK","BELFAST CITY",28.6971,0,9
"3","GATWICK","BIRMINGHAM",0,0,13
"4","GATWICK","BLACKPOOL",0.0047,0,14
"5","GATWICK","BOURNEMOUTH",0.0015,0,15
"6","GATWICK","BRISTOL",0.5253,0,16
"7","GATWICK","BRIZE NORTON",0,0,17
"8","GATWICK","CARDIFF WALES",0.1568,0,20
"9","GATWICK","EDINBURGH",67.9439,0,26
"10","GATWICK","EXETER",0,0,28
"11","GATWICK","GLASGOW",33.8463,0,32
"12","GATWICK","GUERNSEY",31.4017,0,34
"13","GATWICK","INVERNESS",15.8929,0,36
"14","GATWICK","ISLE OF MAN",8.5979,0,37
"15","GATWICK","JERSEY",53.4081,0,38
"16","GATWICK","LEEDS BRADFORD",3.5955,0,40
"17","GATWICK","LIVERPOOL",0,0,42
"18","GATWICK","LUTON",1e-04,0,3
"19","GATWICK","MANCHESTER",42.6083,0,45
"20","GATWICK","NEWCASTLE",21.0832,0,46
"21","GATWICK","NEWQUAY",4.7637,0,54
"22","GATWICK","PLYMOUTH",5.8553,0,55
"23","GATWICK","STANSTED",0.0166,0,5
"24","GATWICK","TEESSIDE",0,0,56
"25","GATWICK","WADDINGTON",0.0047,0,57
"26","GATWICK","WATTISHAM",0.0082,0,58
"27","HEATHROW","ABERDEEN",51.4703,1,6
"28","HEATHROW","BELFAST CITY",67.0837,1,9
"29","HEATHROW","BELFAST INTERNATIONAL",30.5043,1,10
"30","HEATHROW","BLACKPOOL",0,1,14
"31","HEATHROW","CARDIFF WALES",0.0736,1,20
"32","HEATHROW","DUNDEE",1e-04,1,23
"33","HEATHROW","EDINBURGH",160.3397,1,26
"34","HEATHROW","FAIRFORD",0.068,1,59
"35","HEATHROW","FAIROAKS",0.0014,1,60
"36","HEATHROW","GLASGOW",144.8294,1,32
"37","HEATHROW","INVERNESS",0,1,36
"38","HEATHROW","ISLE OF MAN",2.7635,1,37
"39","HEATHROW","JERSEY",2e-04,1,38
"40","HEATHROW","LEEDS BRADFORD",18.1697,1,40
"41","HEATHROW","LIVERPOOL",0.0064,1,42
"42","HEATHROW","LONDONDERRY",0,1,43
"43","HEATHROW","MANCHESTER",130.5072,1,45
"44","HEATHROW","NEWCASTLE",46.4033,1,46
"45","HEATHROW","TEESSIDE",15.2929,1,56
"46","LONDON CITY","ABERDEEN",0.0106,2,6
"47","LONDON CITY","BELFAST CITY",8.1902,2,9
"48","LONDON CITY","BIGGIN HILL",0,2,12
"49","LONDON CITY","BIRMINGHAM",0,2,13
"50","LONDON CITY","BOURNEMOUTH",0,2,15
"51","LONDON CITY","BRISTOL",0,2,16
"52","LONDON CITY","CARDIFF WALES",0,2,20
"53","LONDON CITY","DUNDEE",4.5667,2,23
"54","LONDON CITY","EDINBURGH",13.7042,2,26
"55","LONDON CITY","EXETER",0,2,28
"56","LONDON CITY","GLASGOW",0.1098,2,32
"57","LONDON CITY","GLOUCESTERSHIRE",0,2,33
"58","LONDON CITY","GUERNSEY",0.0056,2,34
"59","LONDON CITY","INVERNESS",0.0049,2,36
"60","LONDON CITY","ISLE OF MAN",4.1725,2,37
"61","LONDON CITY","JERSEY",8.8094,2,38
"62","LONDON CITY","LEEDS BRADFORD",0,2,40
"63","LONDON CITY","LIVERPOOL",0,2,42
"64","LONDON CITY","MANCHESTER",2.2652,2,45
"65","LONDON CITY","NEWQUAY",0.0127,2,54
"66","LONDON CITY","NORWICH",0.0032,2,61
"67","LONDON CITY","PLYMOUTH",0.0035,2,55
"68","LONDON CITY","WICK",0,2,62
"69","LUTON","ABERDEEN",16.3732,3,6
"70","LUTON","BELFAST INTERNATIONAL",40.7997,3,10
"71","LUTON","BIRMINGHAM",0.0047,3,13
"72","LUTON","BLACKPOOL",0.0028,3,14
"73","LUTON","BOURNEMOUTH",0,3,15
"74","LUTON","BRIZE NORTON",1e-04,3,17
"75","LUTON","CAMBRIDGE",1e-04,3,18
"76","LUTON","CARDIFF WALES",0.1626,3,20
"77","LUTON","EAST MIDLANDS",0.0011,3,24
"78","LUTON","EDINBURGH",50.214,3,26
"79","LUTON","EXETER",0,3,28
"80","LUTON","GLASGOW",50.9827,3,32
"81","LUTON","GUERNSEY",0.0014,3,34
"82","LUTON","INVERNESS",11.1775,3,36
"83","LUTON","ISLE OF MAN",3.7107,3,37
"84","LUTON","JERSEY",0.8967,3,38
"85","LUTON","LEEDS BRADFORD",0.0128,3,40
"86","LUTON","LEUCHARS",0,3,63
"87","LUTON","LIVERPOOL",0.0529,3,42
"88","LUTON","MANCHESTER",0.1117,3,45
"89","LUTON","NEWCASTLE",0.011,3,46
"90","LUTON","NEWQUAY",0.0058,3,54
"91","LUTON","STANSTED",0.0372,3,5
"92","LUTON","TEESSIDE",0,3,56
"93","LUTON","WICK",0.0117,3,62
"94","SOUTHEND","GUERNSEY",0.1482,4,34
"95","SOUTHEND","JERSEY",0.2245,4,38
"96","SOUTHEND","TEESSIDE",0.003,4,56
"97","STANSTED","ABERDEEN",6e-04,5,6
"98","STANSTED","BELFAST CITY",0.0016,5,9
"99","STANSTED","BELFAST INTERNATIONAL",39.148,5,10
"100","STANSTED","BIRMINGHAM",0.0047,5,13
"101","STANSTED","BLACKPOOL",0.0051,5,14
"102","STANSTED","BRISTOL",0,5,16
"103","STANSTED","CARDIFF WALES",0.2532,5,20
"104","STANSTED","EAST MIDLANDS",0,5,24
"105","STANSTED","EDINBURGH",51.338,5,26
"106","STANSTED","FAIROAKS",0.0188,5,60
"107","STANSTED","GLASGOW",33.4497,5,32
"108","STANSTED","GUERNSEY",4.7749,5,34
"109","STANSTED","INVERNESS",0.2255,5,36
