"","name","country"
"1","GATWICK","England"
"2","HEATHROW","England"
"3","LONDON CITY","England"
"4","LUTON","England"
"5","SOUTHEND","England"
"6","STANSTED","England"
"7","ABERDEEN","Scotland"
"8","ALDERNEY","Channel Islands"
"9","BARRA","Scotland"
"10","BELFAST CITY","Northern Ireland"
"11","BELFAST INTERNATIONAL","Scotland"
"12","BENBECULA","Scotland"
"13","BIGGIN HILL","England"
"14","BIRMINGHAM","England"
"15","BLACKPOOL","England"
"16","BOURNEMOUTH","England"
"17","BRISTOL","England"
"18","BRIZE NORTON","England"
"19","CAMBRIDGE","England"
"20","CAMPBELTOWN","Scotland"
"21","CARDIFF WALES","Wales"
"22","COVENTRY","England"
"23","DENHAM","England"
"24","DUNDEE","Scotland"
"25","EAST MIDLANDS","England"
"26","EDAY","Scotland"
"27","EDINBURGH","Scotland"
"28","ENNISKILLEN","Northern Ireland"
"29","EXETER","England"
"30","FAIR ISLE","Scotland"
"31","FARNBOROUGH","England"
"32","FILTON","England"
"33","GLASGOW","Scotland"
"34","GLOUCESTERSHIRE","England"
"35","GUERNSEY","Channel Islands"
"36","HUMBERSIDE","England"
"37","INVERNESS","Scotland"
"38","ISLE OF MAN","Isle of Man"
"39","JERSEY","Channel Islands"
"40","KIRKWALL","Scotland"
"41","LEEDS BRADFORD","England"
"42","LERWICK  (TINGWALL)","Scotland"
"43","LIVERPOOL","England"
"44","LONDONDERRY","Northern Ireland"
"45","LYDD","England"
"46","MANCHESTER","England"
"47","NEWCASTLE","England"
"48","NORTHOLT","England"
"49","PRESTWICK","Scotland"
"50","SCATSTA","Scotland"
"51","SHEFFIELD CITY","England"
"52","SOUTH MARSTON","England"
"53","SOUTHAMPTON","England"
"54","SUMBURGH","Scotland"
"55","NEWQUAY","England"
"56","PLYMOUTH","England"
"57","TEESSIDE","England"
"58","WADDINGTON","England"
"59","WATTISHAM","England"
"60","FAIRFORD","England"
"61","FAIROAKS","England"
"62","NORWICH","England"
"63","WICK","Scotland"
"64","LEUCHARS","Scotland"
"65","KINLOSS","Scotland"
"66","WARTON","England"
"67","STORNOWAY","Scotland"
"68","WOODFORD","England"
"69","ISLES OF SCILLY (ST.MARYS)","England"
"70","HAYDOCK PARK","England"
"71","PRIVATE STRIPS/HELIPADS","Private"
"72","HAWARDEN","Wales"
"73","KENT INTERNATIONAL","England"
"74","ISLAY","Scotland"
"75","TIREE","Scotland"
"76","SWANSEA","Wales"
"77","NORTH RONALDSAY","Scotland"
"78","PAPA WESTRAY","Scotland"
"79","SANDAY","Scotland"
"80","STRONSAY","Scotland"
"81","WESTRAY","Scotland"
"82","UNST","Scotland"
"83","SANDOWN","England"
