"","apt1_apt_name","apt2_apt_name","total_pax_tp","apt1_id","apt2_id"
"1","GATWICK","ABERDEEN",16.263,0,6
"2","GATWICK","BELFAST CITY (GEORGE BEST)",22.47,0,9
"3","GATWICK","BELFAST INTERNATIONAL",0.2647,0,10
"4","GATWICK","BIRMINGHAM",0.0074,0,12
"5","GATWICK","BOURNEMOUTH",0.0249,0,14
"6","GATWICK","CARDIFF WALES",0,0,19
"7","GATWICK","COVENTRY",0.0199,0,22
"8","GATWICK","DURHAM TEES VALLEY",0.0234,0,26
"9","GATWICK","EAST MIDLANDS INTERNATIONAL",0.1192,0,27
"10","GATWICK","EDINBURGH",22.1762,0,29
"11","GATWICK","EXETER",0,0,31
"12","GATWICK","FILTON",0,0,33
"13","GATWICK","GLASGOW",22.4369,0,34
"14","GATWICK","GUERNSEY",19.4289,0,36
"15","GATWICK","HEATHROW",0,0,1
"16","GATWICK","INVERNESS",0.0078,0,39
"17","GATWICK","JERSEY",29.5617,0,41
"18","GATWICK","LEEDS BRADFORD",2.6606,0,44
"19","GATWICK","LEUCHARS",0.003,0,53
"20","GATWICK","LIVERPOOL",0.0059,0,45
"21","GATWICK","LUTON",0.0032,0,3
"22","GATWICK","MANCHESTER",33.5703,0,47
"23","GATWICK","NEWCASTLE",8.8903,0,48
"24","GATWICK","PRESTWICK",0.0013,0,54
"25","GATWICK","STANSTED",4e-04,0,5
"26","HEATHROW","ABERDEEN",51.1031,1,6
"27","HEATHROW","BELFAST CITY (GEORGE BEST)",0,1,9
"28","HEATHROW","BELFAST INTERNATIONAL",108.2996,1,10
"29","HEATHROW","BIRMINGHAM",0.03,1,12
"30","HEATHROW","BRISTOL",0.03,1,15
"31","HEATHROW","CARDIFF WALES",0.0099,1,19
"32","HEATHROW","DURHAM TEES VALLEY",18.6566,1,26
"33","HEATHROW","EAST MIDLANDS INTERNATIONAL",0.0342,1,27
"34","HEATHROW","EDINBURGH",154.1421,1,29
"35","HEATHROW","EXETER",0.04,1,31
"36","HEATHROW","FAIRFORD",0.02,1,55
"37","HEATHROW","FARNBOROUGH",0,1,56
"38","HEATHROW","FILTON",0.03,1,33
"39","HEATHROW","GLASGOW",151.1213,1,34
"40","HEATHROW","GUERNSEY",9.3711,1,36
"41","HEATHROW","HUMBERSIDE",0.0181,1,38
"42","HEATHROW","INVERNESS",20.9274,1,39
"43","HEATHROW","ISLE OF MAN",11.7186,1,40
"44","HEATHROW","JERSEY",24.5519,1,41
"45","HEATHROW","KENT INTERNATIONAL",0.04,1,42
"46","HEATHROW","KINROSS",0.0094,1,57
"47","HEATHROW","LEEDS BRADFORD",19.3327,1,44
"48","HEATHROW","LEUCHARS",0.0152,1,53
"49","HEATHROW","LIVERPOOL",0.0238,1,45
"50","HEATHROW","LUTON",0,1,3
"51","HEATHROW","MANCHESTER",107.3747,1,47
"52","HEATHROW","NEWCASTLE",43.6332,1,48
"53","HEATHROW","NEWQUAY",3.0834,1,58
