"","name","country"
"1","GATWICK","England"
"2","HEATHROW","England"
"3","LONDON CITY","England"
"4","LUTON","England"
"5","SOUTHEND","England"
"6","STANSTED","England"
"7","ABERDEEN","Scotland"
"8","ALDERNEY","Channel Islands"
"9","BARRA","Scotland"
"10","BARROW-IN-FURNESS","England"
"11","BECCLES","England"
"12","BELFAST CITY (GEORGE BEST)","Northern Ireland"
"13","BELFAST INTERNATIONAL","Scotland"
"14","BEMBRIDGE","England"
"15","BENBECULA","Scotland"
"16","BIGGIN HILL","England"
"17","BIRMINGHAM","England"
"18","BLACKBUSHE","England"
"19","BLACKPOOL","England"
"20","BOURNEMOUTH","England"
"21","BRISTOL","England"
"22","CAMBRIDGE","England"
"23","CAMPBELTOWN","Scotland"
"24","CARDIFF WALES","Wales"
"25","CARLISLE","England"
"26","CITY OF DERRY (EGLINTON)","Northern Ireland"
"27","COVENTRY","England"
"28","CRANFIELD","England"
"29","DONCASTER SHEFFIELD","England"
"30","DUNDEE","Scotland"
"31","DURHAM TEES VALLEY","England"
"32","EAST MIDLANDS INTERNATIONAL","England"
"33","EDAY","Scotland"
"34","EDINBURGH","Scotland"
"35","EXETER","England"
"36","FAIR ISLE","Scotland"
"37","FAIROAKS","England"
"38","FETLAR","Scotland"
"39","GLASGOW","Scotland"
"40","GLOUCESTERSHIRE","England"
"41","GUERNSEY","Channel Islands"
"42","HATFIELD","England"
"43","HUCKNALL","England"
"44","HUMBERSIDE","England"
"45","INVERNESS","Scotland"
"46","ISLAY","Scotland"
"47","ISLE OF MAN","Isle of Man"
"48","JERSEY","Channel Islands"
"49","KENT INTERNATIONAL","England"
"50","KIRKWALL","Scotland"
"51","LEEDS BRADFORD","England"
"52","LEUCHARS","Scotland"
"53","LIVERPOOL","England"
"54","LYDD","England"
"55","MANCHESTER","England"
"56","NEWCASTLE","England"
"57","NORWICH","England"
"58","PLYMOUTH","England"
"59","PRESTWICK","Scotland"
"60","PRIVATE STRIPS/HELIPADS","Private"
"61","SCATSTA","Scotland"
"62","STORNOWAY","Scotland"
"63","STRONSAY","Scotland"
"64","SUMBURGH","Scotland"
"65","ANGLESEY (VALLEY)","Wales"
"66","COAL ASTON","England"
"67","CULDROSE","England"
"68","HAVERFORD WEST","Wales"
"69","LASHAM","England"
"70","LERWICK (TINGWALL)","Scotland"
"71","NEWQUAY","England"
"72","KINLOSS","Scotland"
"73","SOUTHAMPTON","England"
"74","PENZANCE HELIPORT","England"
"75","WOODVALE","England"
"76","COLTISHALL","England"
"77","DONCASTER","England"
"78","DOUNREAY","Scotland"
"79","ISLE OF SKYE","Scotland"
"80","PERTH (UK)","Scotland"
"81","PETERHEAD","Scotland"
"82","TIREE","Scotland"
"83","UNST","Scotland"
"84","WICK","Scotland"
"85","WOLVERHAMPTON","England"
"86","GLENROTHES","Scotland"
"87","ST KILDA",""
"88","ISLES OF SCILLY (ST.MARYS)","England"
"89","DUXFORD","England"
"90","PORTSMOUTH (UK)","England"
"91","REDHILL","England"
"92","TOLLERTON NOTTINGHAM","England"
"93","WHITE WALTHAM","England"
"94","WELLESBOURNE MOUNTFORD","England"
"95","SHOBDON","England"
"96","SHOREHAM","England"
"97","SWANSEA","Wales"
"98","WOODFORD","England"
"99","NORTH RONALDSAY","Scotland"
"100","PAPA WESTRAY","Scotland"
"101","SANDAY","Scotland"
"102","WESTRAY","Scotland"
"103","WYTON","England"
"104","METRO LONDON HELIPORT","England"
"105","NORTHOLT","England"
"106","SANDOWN","England"
