"","apt1_apt_name","apt2_apt_name","total_pax_tp","apt1_id","apt2_id"
"1","GATWICK","ABERDEEN",15.9811,0,6
"2","GATWICK","ALDERNEY",0,0,7
"3","GATWICK","ANGLESEY (VALLEY)",0,0,8
"4","GATWICK","BELFAST INTERNATIONAL",0.1914,0,13
"5","GATWICK","BIRMINGHAM",0,0,17
"6","GATWICK","BOURNEMOUTH",0.0013,0,19
"7","GATWICK","CARDIFF WALES",0.0802,0,23
"8","GATWICK","DURHAM TEES VALLEY",0,0,31
"9","GATWICK","EAST MIDLANDS INTERNATIONAL",0,0,32
"10","GATWICK","EDINBURGH",17.3019,0,34
"11","GATWICK","EXETER",0,0,35
"12","GATWICK","GLASGOW",16.7441,0,38
"13","GATWICK","GUERNSEY",15.3383,0,40
"14","GATWICK","HUMBERSIDE",0.0198,0,42
"15","GATWICK","INVERNESS",0,0,43
"16","GATWICK","ISLE OF MAN",0.0033,0,45
"17","GATWICK","JERSEY",23.8967,0,46
"18","GATWICK","LUTON",0.0011,0,3
"19","GATWICK","MANCHESTER",18.6951,0,51
"20","GATWICK","NEWCASTLE",6.6074,0,52
"21","GATWICK","NEWQUAY",0,0,60
"22","GATWICK","PLYMOUTH",0.0038,0,61
"23","GATWICK","PRESTWICK",0,0,55
"24","GATWICK","SOUTHEND",1e-04,0,4
"25","GATWICK","STANSTED",0.0052,0,5
"26","HEATHROW","ABERDEEN",46.3438,1,6
"27","HEATHROW","BELFAST INTERNATIONAL",117.378,1,13
"28","HEATHROW","BIRMINGHAM",6.3609,1,17
"29","HEATHROW","CARDIFF WALES",0.0201,1,23
"30","HEATHROW","CARLISLE",0,1,24
"31","HEATHROW","DURHAM TEES VALLEY",17.2527,1,31
"32","HEATHROW","EAST MIDLANDS INTERNATIONAL",5.6875,1,32
"33","HEATHROW","EDINBURGH",130.7585,1,34
"34","HEATHROW","EXETER",0,1,35
"35","HEATHROW","GLASGOW",130.1662,1,38
"36","HEATHROW","GUERNSEY",7.5975,1,40
"37","HEATHROW","HUMBERSIDE",0.0201,1,42
"38","HEATHROW","INVERNESS",15.1914,1,43
"39","HEATHROW","ISLE OF MAN",10.3257,1,45
"40","HEATHROW","JERSEY",26.4352,1,46
"41","HEATHROW","KENT INTERNATIONAL",0.0401,1,62
"42","HEATHROW","LEEDS BRADFORD",18.7936,1,48
"43","HEATHROW","LEUCHARS",0.0101,1,63
"44","HEATHROW","LIVERPOOL",1.8014,1,49
"45","HEATHROW","MANCHESTER",91.586,1,51
"46","HEATHROW","NEWCASTLE",37.7181,1,52
"47","HEATHROW","NEWQUAY",3.214,1,60
"48","HEATHROW","PLYMOUTH",4.0821,1,61
"49","HEATHROW","PRESTWICK",0,1,55
"50","HEATHROW","STANSTED",0.0354,1,5
"51","LONDON CITY","BLACKPOOL",0,2,18
"52","LONDON CITY","COVENTRY",0,2,26
"53","LONDON CITY","DURHAM TEES VALLEY",0,2,31
"54","LONDON CITY","GUERNSEY",0,2,40
"55","LONDON CITY","JERSEY",0.2595,2,46
"56","LONDON CITY","LIVERPOOL",0,2,49
"57","LONDON CITY","MANCHESTER",0,2,51
"58","LONDON CITY","NEWCASTLE",0.0092,2,52
"59","LONDON CITY","PLYMOUTH",0,2,61
"60","LUTON","ABERDEEN",0,3,6
"61","LUTON","BELFAST CITY (GEORGE BEST)",0.4561,3,12
"62","LUTON","BELFAST INTERNATIONAL",15.0384,3,13
"63","LUTON","BIRMINGHAM",0,3,17
"64","LUTON","BRISTOL",0,3,20
"65","LUTON","CAMBRIDGE",0.0015,3,21
"66","LUTON","EAST MIDLANDS INTERNATIONAL",0,3,32
"67","LUTON","EDINBURGH",0.0424,3,34
"68","LUTON","EXETER",8e-04,3,35
"69","LUTON","GLASGOW",0,3,38
"70","LUTON","GUERNSEY",0,3,40
"71","LUTON","ISLE OF MAN",1.4911,3,45
"72","LUTON","JERSEY",1.5694,3,46
"73","LUTON","KINLOSS",0,3,64
"74","LUTON","LIVERPOOL",2e-04,3,49
"75","LUTON","MANCHESTER",0.0114,3,51
"76","LUTON","NEWCASTLE",2e-04,3,52
"77","LUTON","NEWQUAY",0,3,60
"78","LUTON","SOUTHAMPTON",9e-04,3,65
"79","LUTON","SOUTHEND",2e-04,3,4
"80","SOUTHEND","ABERDEEN",0,4,6
"81","SOUTHEND","BOURNEMOUTH",0,4,19
"82","SOUTHEND","EXETER",0,4,35
"83","SOUTHEND","GLASGOW",0.009,4,38
"84","SOUTHEND","JERSEY",0.9762,4,46
"85","SOUTHEND","LIVERPOOL",0.016,4,49
"86","SOUTHEND","MANCHESTER",0,4,51
"87","SOUTHEND","NEWCASTLE",0.0078,4,52
"88","STANSTED","ABERDEEN",6.8736,5,6
"89","STANSTED","BELFAST INTERNATIONAL",0.0259,5,13
