"","name","country"
"1","GATWICK","England"
"2","HEATHROW","England"
"3","LONDON CITY","England"
"4","LUTON","England"
"5","SOUTHEND","England"
"6","STANSTED","England"
"7","ABERDEEN","Scotland"
"8","ALDERNEY","Channel Islands"
"9","BARRA","Scotland"
"10","BARROW-IN-FURNESS","England"
"11","BECCLES","England"
"12","BELFAST CITY (GEORGE BEST)","Northern Ireland"
"13","BELFAST INTERNATIONAL","Scotland"
"14","BEMBRIDGE","England"
"15","BENBECULA","Scotland"
"16","BIGGIN HILL","England"
"17","BIRMINGHAM","England"
"18","BLACKBUSHE","England"
"19","BLACKPOOL","England"
"20","BOURNEMOUTH","England"
"21","BRISTOL","England"
"22","BRIZE NORTON","England"
"23","CAMBRIDGE","England"
"24","CAMPBELTOWN","Scotland"
"25","CARDIFF WALES","Wales"
"26","CARLISLE","England"
"27","CITY OF DERRY (EGLINTON)","Northern Ireland"
"28","COVENTRY","England"
"29","DONCASTER SHEFFIELD","England"
"30","DUNDEE","Scotland"
"31","DURHAM TEES VALLEY","England"
"32","EAST MIDLANDS INTERNATIONAL","England"
"33","EDAY","Scotland"
"34","EDINBURGH","Scotland"
"35","EXETER","England"
"36","FAIR ISLE","Scotland"
"37","FAIROAKS","England"
"38","FETLAR","Scotland"
"39","GLASGOW","Scotland"
"40","GLOUCESTERSHIRE","England"
"41","GUERNSEY","Channel Islands"
"42","HATFIELD","England"
"43","HUCKNALL","England"
"44","HUMBERSIDE","England"
"45","INVERNESS","Scotland"
"46","ISLAY","Scotland"
"47","ISLE OF MAN","Isle of Man"
"48","JERSEY","Channel Islands"
"49","KENT INTERNATIONAL","England"
"50","KINLOSS","Scotland"
"51","KIRKWALL","Scotland"
"52","LEEDS BRADFORD","England"
"53","LEUCHARS","Scotland"
"54","LIVERPOOL","England"
"55","MANCHESTER","England"
"56","NEWCASTLE","England"
"57","NEWQUAY","England"
"58","NORWICH","England"
"59","PLYMOUTH","England"
"60","PRESTWICK","Scotland"
"61","PRIVATE STRIPS/HELIPADS","Private"
"62","SOUTHAMPTON","England"
"63","STORNOWAY","Scotland"
"64","STRONSAY","Scotland"
"65","SUMBURGH","Scotland"
"66","COAL ASTON","England"
"67","CULDROSE","England"
"68","HAVERFORD WEST","Wales"
"69","LASHAM","England"
"70","LERWICK (TINGWALL)","Scotland"
"71","LYDD","England"
"72","WICK","Scotland"
"73","FAIRFORD","England"
"74","WREXHAM","Wales"
"75","BRAWDY","Wales"
"76","COLTISHALL","England"
"77","DENHAM","England"
"78","DONCASTER","England"
"79","DOUNREAY","Scotland"
"80","PETERHEAD","Scotland"
"81","SCATSTA","Scotland"
"82","UNST","Scotland"
"83","WOLVERHAMPTON","England"
"84","GLENROTHES","Scotland"
"85","ST KILDA",""
"86","TIREE","Scotland"
"87","ISLES OF SCILLY (ST.MARYS)","England"
"88","PERTH (UK)","Scotland"
"89","DUXFORD","England"
"90","SWANSEA","Wales"
"91","PORTSMOUTH (UK)","England"
"92","REDHILL","England"
"93","WHITE WALTHAM","England"
"94","ISLE OF SKYE","Scotland"
"95","LANDS END (ST JUST)","England"
"96","SANDOWN","England"
"97","SHOBDON","England"
"98","TOLLERTON NOTTINGHAM","England"
"99","WOODFORD","England"
"100","NORTH RONALDSAY","Scotland"
"101","PAPA WESTRAY","Scotland"
"102","ROCHESTER (UK)","England"
"103","SANDAY","Scotland"
"104","WESTRAY","Scotland"
"105","WYTON","England"
"106","METRO LONDON HELIPORT","England"
"107","NEWTOWNARDS","Northern Ireland"
"108","NORTHOLT","England"
"109","THRUXTON","England"
"110","WOODVALE","England"
"111","WELLESBOURNE MOUNTFORD","England"
