"","apt1_apt_name","apt2_apt_name","total_pax_tp","apt1_id","apt2_id"
"1","GATWICK","ABERDEEN",17.482,0,6
"2","GATWICK","BELFAST CITY (GEORGE BEST)",22.4046,0,9
"3","GATWICK","BELFAST INTERNATIONAL",0.0892,0,10
"4","GATWICK","BIRMINGHAM",0.0074,0,12
"5","GATWICK","BOURNEMOUTH",0.0021,0,14
"6","GATWICK","CARDIFF WALES",1e-04,0,18
"7","GATWICK","COVENTRY",0,0,21
"8","GATWICK","DURHAM TEES VALLEY",0,0,24
"9","GATWICK","EAST MIDLANDS INTERNATIONAL",0.2485,0,25
"10","GATWICK","EDINBURGH",31.2699,0,27
"11","GATWICK","GLASGOW",25.451,0,33
"12","GATWICK","GUERNSEY",21.4512,0,35
"13","GATWICK","INVERNESS",0.0246,0,38
"14","GATWICK","JERSEY",34.9668,0,40
"15","GATWICK","LEEDS BRADFORD",4.101,0,42
"16","GATWICK","LEUCHARS",0,0,50
"17","GATWICK","LIVERPOOL",0.2973,0,43
"18","GATWICK","LUTON",0.0031,0,3
"19","GATWICK","MANCHESTER",37.4976,0,44
"20","GATWICK","NEWCASTLE",11.6945,0,45
"21","GATWICK","PRESTWICK",0,0,46
"22","GATWICK","STANSTED",0,0,5
"23","HEATHROW","ABERDEEN",51.5959,1,6
"24","HEATHROW","BELFAST INTERNATIONAL",113.4658,1,10
"25","HEATHROW","BIRMINGHAM",0.0398,1,12
"26","HEATHROW","BLACKPOOL",0.0042,1,13
"27","HEATHROW","BOURNEMOUTH",0.04,1,14
"28","HEATHROW","BRISTOL",0.0501,1,15
"29","HEATHROW","CARDIFF WALES",0.0399,1,18
"30","HEATHROW","DURHAM TEES VALLEY",18.8146,1,24
"31","HEATHROW","EAST MIDLANDS INTERNATIONAL",0.04,1,25
"32","HEATHROW","EDINBURGH",159.5321,1,27
"33","HEATHROW","EXETER",0.01,1,29
"34","HEATHROW","FAIRFORD",0.02,1,51
"35","HEATHROW","FARNBOROUGH",0.02,1,31
"36","HEATHROW","FILTON",0,1,32
"37","HEATHROW","GLASGOW",151.6997,1,33
"38","HEATHROW","GUERNSEY",9.8517,1,35
"39","HEATHROW","HUMBERSIDE",0.04,1,37
"40","HEATHROW","INVERNESS",21.2025,1,38
"41","HEATHROW","ISLE OF MAN",12.1448,1,39
"42","HEATHROW","JERSEY",24.7129,1,40
"43","HEATHROW","KENT INTERNATIONAL",0.04,1,52
"44","HEATHROW","KINROSS",0,1,53
"45","HEATHROW","LEEDS BRADFORD",19.4245,1,42
"46","HEATHROW","LEUCHARS",0.0112,1,50
"47","HEATHROW","LIVERPOOL",0.0235,1,43
"48","HEATHROW","MANCHESTER",108.2885,1,44
"49","HEATHROW","NEWCASTLE",44.0545,1,45
"50","HEATHROW","NEWQUAY",3.5838,1,54
"51","HEATHROW","NORWICH",0,1,55
"52","HEATHROW","PLYMOUTH",6.7368,1,56
"53","HEATHROW","STANSTED",0.0043,1,5
"54","LONDON CITY","ABERDEEN",0,2,6
"55","LONDON CITY","BIGGIN HILL",2e-04,2,57
"56","LONDON CITY","EDINBURGH",2.2405,2,27
"57","LONDON CITY","HUMBERSIDE",0,2,37
"58","LONDON CITY","JERSEY",0,2,40
"59","LONDON CITY","LEEDS BRADFORD",0.0027,2,42
"60","LONDON CITY","MANCHESTER",0.0023,2,44
"61","LONDON CITY","PRESTWICK",0.0036,2,46
"62","LONDON CITY","SOUTHAMPTON",0,2,58
"63","LUTON","ABERDEEN",5.7529,3,6
"64","LUTON","BELFAST CITY (GEORGE BEST)",3.5804,3,9
"65","LUTON","BELFAST INTERNATIONAL",0,3,10
"66","LUTON","BIRMINGHAM",0,3,12
"67","LUTON","DURHAM TEES VALLEY",0,3,24
"68","LUTON","EAST MIDLANDS INTERNATIONAL",0.0079,3,25
"69","LUTON","EDINBURGH",16.9611,3,27
"70","LUTON","GLASGOW",13.9501,3,33
"71","LUTON","INVERNESS",0.4892,3,38
"72","LUTON","ISLE OF MAN",2.2248,3,39
"73","LUTON","JERSEY",0.8918,3,40
"74","LUTON","LEEDS BRADFORD",0.003,3,42
"75","LUTON","MANCHESTER",0.0026,3,44
"76","LUTON","NEWCASTLE",1.2536,3,45
"77","LUTON","NORWICH",0.0019,3,55
"78","LUTON","WICK",0.0159,3,59
"79","SOUTHEND","EDINBURGH",0.0077,4,27
"80","SOUTHEND","HUMBERSIDE",0,4,37
"81","SOUTHEND","JERSEY",0.2588,4,40
"82","SOUTHEND","LYDD",0.0148,4,60
"83","STANSTED","ABERDEEN",11.1146,5,6
"84","STANSTED","BELFAST CITY (GEORGE BEST)",14.9235,5,9
"85","STANSTED","BELFAST INTERNATIONAL",11.1778,5,10
"86","STANSTED","BIRMINGHAM",0,5,12
"87","STANSTED","BOURNEMOUTH",0,5,14
"88","STANSTED","CITY OF DERRY (EGLINTON)",1.8866,5,20
"89","STANSTED","DURHAM TEES VALLEY",0,5,24
"90","STANSTED","EAST MIDLANDS INTERNATIONAL",0,5,25
"91","STANSTED","EDINBURGH",18.2213,5,27
"92","STANSTED","EXETER",3e-04,5,29
"93","STANSTED","GLASGOW",13.4672,5,33
"94","STANSTED","GUERNSEY",1.8555,5,35
"95","STANSTED","HAWARDEN",0.0064,5,36
"96","STANSTED","HUMBERSIDE",0,5,37
"97","STANSTED","INVERNESS",0.4666,5,38
"98","STANSTED","ISLE OF MAN",0.0291,5,39
"99","STANSTED","JERSEY",4.1913,5,40
"100","STANSTED","LEEDS BRADFORD",0.0284,5,42
"101","STANSTED","LEUCHARS",0,5,50
"102","STANSTED","LIVERPOOL",2e-04,5,43
"103","STANSTED","MANCHESTER",2.6133,5,44
"104","STANSTED","NEWCASTLE",3.9903,5,45
"105","STANSTED","PLYMOUTH",0,5,56
"106","STANSTED","PRESTWICK",21.6188,5,46
"107","STANSTED","STANSTED",0,5,5
"108","ABERDEEN","BELFAST CITY (GEORGE BEST)",1.3446,6,9
"109","ABERDEEN","BELFAST INTERNATIONAL",1.3479,6,10
"110","ABERDEEN","BIRMINGHAM",4.5913,6,12
"111","ABERDEEN","BLACKPOOL",0.0066,6,13
"112","ABERDEEN","BRISTOL",3.086,6,15
"113","ABERDEEN","CARDIFF WALES",0.3305,6,18
"114","ABERDEEN","COVENTRY",0.0111,6,21
"115","ABERDEEN","DUNDEE",0,6,23
"116","ABERDEEN","DURHAM TEES VALLEY",0.0105,6,24
"117","ABERDEEN","EAST MIDLANDS INTERNATIONAL",2.2608,6,25
"118","ABERDEEN","EDINBURGH",0.2354,6,27
"119","ABERDEEN","EXETER",0,6,29
"120","ABERDEEN","GLASGOW",1.4487,6,33
"121","ABERDEEN","HUMBERSIDE",4.0392,6,37
"122","ABERDEEN","INVERNESS",0,6,38
"123","ABERDEEN","ISLE OF MAN",0.0667,6,39
