rundate,this_period,last_period,grp_cd,grp_name,apt1_apt_name,apt2_apt_name,total_pax_tp,total_pax_shd_tp,total_pax_cht_tp,total_pax_lp,total_pax_shd_lp,total_pax_cht_lp,total_pax_pc
10/10/2008 12:01,1993,1992,A,London Area Airports,GATWICK,ABERDEEN,202289,202289,0,159811,159811,0,26.5801487
10/10/2008 12:01,1993,1992,A,London Area Airports,GATWICK,BELFAST CITY (GEORGE BEST),121007,121007,0,0,0,0,
10/10/2008 12:01,1993,1992,A,London Area Airports,GATWICK,BELFAST INTERNATIONAL,1964,1692,272,1914,1438,476,2.612330198
10/10/2008 12:01,1993,1992,A,London Area Airports,GATWICK,BIRMINGHAM,88,0,88,0,0,0,
10/10/2008 12:01,1993,1992,A,London Area Airports,GATWICK,BOURNEMOUTH,15,0,15,13,0,13,15.38461494
10/10/2008 12:01,1993,1992,A,London Area Airports,GATWICK,CARDIFF WALES,220,0,220,802,0,802,-72.56858063
10/10/2008 12:01,1993,1992,A,London Area Airports,GATWICK,CITY OF DERRY (EGLINTON),223,0,223,0,0,0,
10/10/2008 12:01,1993,1992,A,London Area Airports,GATWICK,DURHAM TEES VALLEY,220,0,220,0,0,0,
10/10/2008 12:01,1993,1992,A,London Area Airports,GATWICK,EAST MIDLANDS INTERNATIONAL,2,0,2,0,0,0,
10/10/2008 12:01,1993,1992,A,London Area Airports,GATWICK,EDINBURGH,189871,189664,207,173019,172970,49,9.739971161
10/10/2008 12:01,1993,1992,A,London Area Airports,GATWICK,GLASGOW,175984,175141,843,167441,167435,6,5.102095604
10/10/2008 12:01,1993,1992,A,London Area Airports,GATWICK,GUERNSEY,175218,175215,3,153383,153278,105,14.23560619
10/10/2008 12:01,1993,1992,A,London Area Airports,GATWICK,HUMBERSIDE,0,0,0,198,0,198,
10/10/2008 12:01,1993,1992,A,London Area Airports,GATWICK,ISLE OF MAN,473,0,473,33,0,33,1333.333374
10/10/2008 12:01,1993,1992,A,London Area Airports,GATWICK,JERSEY,249195,244752,4443,238967,235985,2982,4.280088902
