rundate,this_period,last_period,grp_cd,grp_name,apt1_apt_name,apt2_apt_name,total_pax_tp,total_pax_shd_tp,total_pax_cht_tp,total_pax_lp,total_pax_shd_lp,total_pax_cht_lp,total_pax_pc
4/20/2010 13:45,2008,2007,A,London Area Airports,GATWICK,ABERDEEN,147978,147944,34,214946,214946,0,-31.1557312
4/20/2010 13:45,2008,2007,A,London Area Airports,GATWICK,BELFAST CITY (GEORGE BEST),189398,189398,0,200801,200801,0,-5.678756714
4/20/2010 13:45,2008,2007,A,London Area Airports,GATWICK,BELFAST INTERNATIONAL,347377,347377,0,383674,383658,16,-9.460374832
4/20/2010 13:45,2008,2007,A,London Area Airports,GATWICK,BIRMINGHAM,0,0,0,50,0,50,
4/20/2010 13:45,2008,2007,A,London Area Airports,GATWICK,BLACKPOOL,33,0,33,0,0,0,
4/20/2010 13:45,2008,2007,A,London Area Airports,GATWICK,CARDIFF WALES,116,0,116,105,0,105,10.47619057
4/20/2010 13:45,2008,2007,A,London Area Airports,GATWICK,DONCASTER SHEFFIELD,49,0,49,0,0,0,
4/20/2010 13:45,2008,2007,A,London Area Airports,GATWICK,DURHAM TEES VALLEY,58,0,58,1028,0,1028,-94.35797882
4/20/2010 13:45,2008,2007,A,London Area Airports,GATWICK,EAST MIDLANDS INTERNATIONAL,49,0,49,40,0,40,22.5
4/20/2010 13:45,2008,2007,A,London Area Airports,GATWICK,EDINBURGH,704906,704891,15,748309,748230,79,-5.800144196
4/20/2010 13:45,2008,2007,A,London Area Airports,GATWICK,EXETER,0,0,0,9,0,9,
4/20/2010 13:45,2008,2007,A,London Area Airports,GATWICK,GLASGOW,521878,521878,0,570656,570655,1,-8.547706604
4/20/2010 13:45,2008,2007,A,London Area Airports,GATWICK,GUERNSEY,338720,338720,0,342826,342826,0,-1.197692156
4/20/2010 13:45,2008,2007,A,London Area Airports,GATWICK,HUMBERSIDE,41,0,41,45,0,45,-8.888889313
4/20/2010 13:45,2008,2007,A,London Area Airports,GATWICK,INVERNESS,243168,242645,523,221550,221550,0,9.757616997
4/20/2010 13:45,2008,2007,A,London Area Airports,GATWICK,ISLE OF MAN,147409,147324,85,144346,144346,0,2.12198472
4/20/2010 13:45,2008,2007,A,London Area Airports,GATWICK,JERSEY,517899,517899,0,525156,524247,909,-1.381875157
4/20/2010 13:45,2008,2007,A,London Area Airports,GATWICK,KIRKWALL,0,0,0,211,0,211,
4/20/2010 13:45,2008,2007,A,London Area Airports,GATWICK,LEEDS BRADFORD,262,0,262,0,0,0,
4/20/2010 13:45,2008,2007,A,London Area Airports,GATWICK,LIVERPOOL,213,0,213,2399,0,2399,-91.12129974
4/20/2010 13:45,2008,2007,A,London Area Airports,GATWICK,MANCHESTER,344031,343000,1031,414350,413768,582,-16.97091866
4/20/2010 13:45,2008,2007,A,London Area Airports,GATWICK,NEWCASTLE,101400,101212,188,109649,109609,40,-7.523096561
4/20/2010 13:45,2008,2007,A,London Area Airports,GATWICK,NEWQUAY,63435,63435,0,73927,73927,0,-14.192379
4/20/2010 13:45,2008,2007,A,London Area Airports,GATWICK,PLYMOUTH,60546,60546,0,67780,67780,0,-10.67276478
4/20/2010 13:45,2008,2007,A,London Area Airports,GATWICK,SOUTHEND,0,0,0,20,0,20,
4/20/2010 13:45,2008,2007,A,London Area Airports,HEATHROW,ABERDEEN,656034,656034,0,658984,658984,0,-0.447658807
4/20/2010 13:45,2008,2007,A,London Area Airports,HEATHROW,BELFAST CITY (GEORGE BEST),521913,521913,0,626218,626218,0,-16.65633965
4/20/2010 13:45,2008,2007,A,London Area Airports,HEATHROW,BELFAST INTERNATIONAL,258033,258033,0,0,0,0,
4/20/2010 13:45,2008,2007,A,London Area Airports,HEATHROW,DURHAM TEES VALLEY,81407,81407,0,88223,88223,0,-7.725876331
4/20/2010 13:45,2008,2007,A,London Area Airports,HEATHROW,EDINBURGH,1318962,1318962,0,1436598,1436516,82,-8.188511848
4/20/2010 13:45,2008,2007,A,London Area Airports,HEATHROW,GLASGOW,1143533,1143426,107,1207127,1207118,9,-5.268211365
4/20/2010 13:45,2008,2007,A,London Area Airports,HEATHROW,INVERNESS,7899,7899,0,53549,53549,0,-85.24902344
4/20/2010 13:45,2008,2007,A,London Area Airports,HEATHROW,JERSEY,76679,76679,0,77574,77563,11,-1.153737068
4/20/2010 13:45,2008,2007,A,London Area Airports,HEATHROW,LEEDS BRADFORD,126069,126069,0,136952,136952,0,-7.946579933
4/20/2010 13:45,2008,2007,A,London Area Airports,HEATHROW,LIVERPOOL,97,0,97,66,0,66,46.96969604
4/20/2010 13:45,2008,2007,A,London Area Airports,HEATHROW,LUTON,0,0,0,2,0,2,
4/20/2010 13:45,2008,2007,A,London Area Airports,HEATHROW,MANCHESTER,910101,910009,92,973044,972612,432,-6.468669415
4/20/2010 13:45,2008,2007,A,London Area Airports,HEATHROW,NEWCASTLE,462615,462615,0,495366,495366,0,-6.611474991
4/20/2010 13:45,2008,2007,A,London Area Airports,HEATHROW,PRESTWICK,118,0,118,0,0,0,
4/20/2010 13:45,2008,2007,A,London Area Airports,LONDON CITY,BELFAST CITY (GEORGE BEST),6692,6692,0,14482,14482,0,-53.79091263
