rundate,this_period,last_period,grp_cd,grp_name,apt1_apt_name,apt2_apt_name,total_pax_tp,total_pax_shd_tp,total_pax_cht_tp,total_pax_lp,total_pax_shd_lp,total_pax_cht_lp,total_pax_pc
31/03/2004 18:09,2003,2002,A,London Area Airports,GATWICK,ABERDEEN,254671,254669,2,241050,241050,0,5.650694847
31/03/2004 18:09,2003,2002,A,London Area Airports,GATWICK,BELFAST CITY,239864,239796,68,286971,286971,0,-16.41524696
31/03/2004 18:09,2003,2002,A,London Area Airports,GATWICK,BELFAST INTERNATIONAL,219460,219460,0,0,0,0,
31/03/2004 18:09,2003,2002,A,London Area Airports,GATWICK,BLACKPOOL,0,0,0,47,0,47,
31/03/2004 18:09,2003,2002,A,London Area Airports,GATWICK,BOURNEMOUTH,0,0,0,5,0,5,
31/03/2004 18:09,2003,2002,A,London Area Airports,GATWICK,BRISTOL,0,0,0,5253,5253,0,
31/03/2004 18:09,2003,2002,A,London Area Airports,GATWICK,CARDIFF WALES,75,0,75,1568,0,1568,-95.21683502
31/03/2004 18:09,2003,2002,A,London Area Airports,GATWICK,EAST MIDLANDS,147,0,147,0,0,0,
31/03/2004 18:09,2003,2002,A,London Area Airports,GATWICK,EDINBURGH,771050,770486,564,679439,679428,11,13.48332977
31/03/2004 18:09,2003,2002,A,London Area Airports,GATWICK,GLASGOW,387840,387151,689,338463,337315,1148,14.58859634
31/03/2004 18:09,2003,2002,A,London Area Airports,GATWICK,GUERNSEY,326893,326893,0,314017,314017,0,4.100414753
31/03/2004 18:09,2003,2002,A,London Area Airports,GATWICK,INVERNESS,224472,224426,46,158929,158852,77,41.24042892
31/03/2004 18:09,2003,2002,A,London Area Airports,GATWICK,ISLE OF MAN,121587,121587,0,85979,85979,0,41.4147644
31/03/2004 18:09,2003,2002,A,London Area Airports,GATWICK,JERSEY,545313,544833,480,534081,533672,409,2.103051901
31/03/2004 18:09,2003,2002,A,London Area Airports,GATWICK,LEEDS BRADFORD,8392,8384,8,35955,35931,24,-76.65971375
31/03/2004 18:09,2003,2002,A,London Area Airports,GATWICK,MANCHESTER,442020,437963,4057,426083,421914,4169,3.740350962
31/03/2004 18:09,2003,2002,A,London Area Airports,GATWICK,NEWCASTLE,256387,256387,0,210832,210561,271,21.60725212
31/03/2004 18:09,2003,2002,A,London Area Airports,GATWICK,NEWQUAY,48349,48349,0,47637,47637,0,1.494636536
31/03/2004 18:09,2003,2002,A,London Area Airports,GATWICK,PLYMOUTH,57445,57445,0,58553,58553,0,-1.892302752
31/03/2004 18:09,2003,2002,A,London Area Airports,GATWICK,WADDINGTON,0,0,0,47,0,47,
31/03/2004 18:09,2003,2002,A,London Area Airports,HEATHROW,ABERDEEN,507290,507290,0,514703,514703,0,-1.440248013
31/03/2004 18:09,2003,2002,A,London Area Airports,HEATHROW,BELFAST CITY,784822,784822,0,670837,670837,0,16.9914608
31/03/2004 18:09,2003,2002,A,London Area Airports,HEATHROW,BELFAST INTERNATIONAL,26835,26327,508,305043,304787,256,-91.20288086
31/03/2004 18:09,2003,2002,A,London Area Airports,HEATHROW,BIRMINGHAM,198,0,198,0,0,0,
31/03/2004 18:09,2003,2002,A,London Area Airports,HEATHROW,CARDIFF WALES,572,0,572,736,0,736,-22.28260803
31/03/2004 18:09,2003,2002,A,London Area Airports,HEATHROW,DUNDEE,0,0,0,1,0,1,
31/03/2004 18:09,2003,2002,A,London Area Airports,HEATHROW,EAST MIDLANDS,7,0,7,0,0,0,
31/03/2004 18:09,2003,2002,A,London Area Airports,HEATHROW,EDINBURGH,1661897,1661169,728,1603397,1603385,12,3.64850378
