rundate,this_period,last_period,grp_name,apt1_apt_name,apt2_apt_name,total_pax_tp,total_pax_shd_tp,total_pax_cht_tp,total_pax_lp,total_pax_shd_lp,total_pax_cht_lp,total_pax_pc
15/04/05 14:21,2004,2003,Other UK Airports,BELFAST CITY,BRISTOL,76586,76586,0,63933,63933,0,19.79103088
15/04/05 14:21,2004,2003,Other UK Airports,BELFAST CITY,CARDIFF WALES,0,0,0,6167,6167,0,
15/04/05 14:21,2004,2003,Other UK Airports,BELFAST CITY,CITY OF DERRY (EGLINTON),1,0,1,0,0,0,
15/04/05 14:21,2004,2003,Other UK Airports,BELFAST CITY,EDINBURGH,92099,92099,0,57751,57623,128,59.47602463
15/04/05 14:21,2004,2003,Other UK Airports,BELFAST CITY,EXETER,29576,29576,0,1282,1282,0,2207.020264
15/04/05 14:21,2004,2003,Other UK Airports,BELFAST CITY,FARNBOROUGH,3,0,3,0,0,0,
15/04/05 14:21,2004,2003,Other UK Airports,BELFAST CITY,GLASGOW,107512,107493,19,55494,55494,0,93.73625946
15/04/05 14:21,2004,2003,Other UK Airports,BELFAST CITY,ISLE OF MAN,31215,31215,0,32930,32879,51,-5.208016872
15/04/05 14:21,2004,2003,Other UK Airports,BELFAST CITY,JERSEY,5874,5874,0,8345,8345,0,-29.61054611
15/04/05 14:21,2004,2003,Other UK Airports,BELFAST CITY,LEEDS BRADFORD,105063,105063,0,126042,126042,0,-16.64445114
15/04/05 14:21,2004,2003,Other UK Airports,BELFAST CITY,MANCHESTER,137121,137121,0,148458,148458,0,-7.63650322
15/04/05 14:21,2004,2003,Other UK Airports,BELFAST CITY,NEWCASTLE,77305,77305,0,88479,88479,0,-12.6289854
15/04/05 14:21,2004,2003,Other UK Airports,BELFAST CITY,NEWQUAY,5,0,5,0,0,0,
15/04/05 14:21,2004,2003,Other UK Airports,BELFAST CITY,SOUTHAMPTON,97643,97643,0,64969,64933,36,50.29167938
15/04/05 14:21,2004,2003,Other UK Airports,BELFAST INTERNATIONAL,BIRMINGHAM,28251,27975,276,127397,126996,401,-77.82444
15/04/05 14:21,2004,2003,Other UK Airports,BELFAST INTERNATIONAL,BOURNEMOUTH,224,0,224,0,0,0,
15/04/05 14:21,2004,2003,Other UK Airports,BELFAST INTERNATIONAL,BRISTOL,231755,231586,169,211879,211791,88,9.380825996
15/04/05 14:21,2004,2003,Other UK Airports,BELFAST INTERNATIONAL,CARDIFF WALES,53527,53432,95,66361,66361,0,-19.33967209
15/04/05 14:21,2004,2003,Other UK Airports,BELFAST INTERNATIONAL,COVENTRY,0,0,0,202,0,202,
15/04/05 14:21,2004,2003,Other UK Airports,BELFAST INTERNATIONAL,DURHAM TEES VALLEY,32000,32000,0,6408,6408,0,399.3757935
15/04/05 14:21,2004,2003,Other UK Airports,BELFAST INTERNATIONAL,EDINBURGH,315011,315011,0,269906,269845,61,16.71137428
15/04/05 14:21,2004,2003,Other UK Airports,BELFAST INTERNATIONAL,GLASGOW,313783,313745,38,321532,321322,210,-2.410024405
15/04/05 14:21,2004,2003,Other UK Airports,BELFAST INTERNATIONAL,JERSEY,1451,0,1451,1509,0,1509,-3.843605042
15/04/05 14:21,2004,2003,Other UK Airports,BELFAST INTERNATIONAL,LEEDS BRADFORD,94412,94304,108,12385,12264,121,662.3092651
15/04/05 14:21,2004,2003,Other UK Airports,BELFAST INTERNATIONAL,LIVERPOOL,551655,551655,0,563042,563042,0,-2.022406816
15/04/05 14:21,2004,2003,Other UK Airports,BELFAST INTERNATIONAL,MANCHESTER,152235,152233,2,105477,105164,313,44.33004379
15/04/05 14:21,2004,2003,Other UK Airports,BELFAST INTERNATIONAL,NEWCASTLE,151333,151333,0,104204,103891,313,45.22763062
15/04/05 14:21,2004,2003,Other UK Airports,BELFAST INTERNATIONAL,NOTTINGHAM EAST MIDLANDS INT'L,172264,172264,0,146685,146685,0,17.43804741
15/04/05 14:21,2004,2003,Other UK Airports,BELFAST INTERNATIONAL,SOUTH MARSTON,10,0,10,0,0,0,
15/04/05 14:21,2004,2003,Other UK Airports,BELFAST INTERNATIONAL,SOUTHAMPTON,119,0,119,35,0,35,240
15/04/05 14:21,2004,2003,Other UK Airports,BELFAST INTERNATIONAL,SWANSEA,0,0,0,18,0,18,
15/04/05 14:21,2004,2003,Other UK Airports,BEMBRIDGE,SOUTHAMPTON,7,0,7,0,0,0,
15/04/05 14:21,2004,2003,Other UK Airports,BENBECULA,GLASGOW,18787,18787,0,20520,20498,22,-8.445419312
15/04/05 14:21,2004,2003,Other UK Airports,BENBECULA,STORNOWAY,8846,8846,0,8965,8965,0,-1.327384233
15/04/05 14:21,2004,2003,Other UK Airports,BIGGIN HILL,CARDIFF WALES,28,0,28,0,0,0,
15/04/05 14:21,2004,2003,Other UK Airports,BIGGIN HILL,LEEDS BRADFORD,0,0,0,70,0,70,
15/04/05 14:21,2004,2003,Other UK Airports,BIRMINGHAM,BRISTOL,0,0,0,67,0,67,
15/04/05 14:21,2004,2003,Other UK Airports,BIRMINGHAM,CITY OF DERRY (EGLINTON),9925,9925,0,0,0,0,
15/04/05 14:21,2004,2003,Other UK Airports,BIRMINGHAM,EDINBURGH,384295,384082,213,373402,373037,365,2.917231321
