rundate,this_period,last_period,grp_cd,grp_name,apt1_apt_name,apt2_apt_name,total_pax_tp,total_pax_shd_tp,total_pax_cht_tp,total_pax_lp,total_pax_shd_lp,total_pax_cht_lp,total_pax_pc
10/9/2008 10:47,1994,1993,A,London Area Airports,GATWICK,ABERDEEN,204448,204448,0,202289,202289,0,1.067284942
10/9/2008 10:47,1994,1993,A,London Area Airports,GATWICK,BELFAST CITY (GEORGE BEST),210809,210809,0,121007,121007,0,74.2122345
10/9/2008 10:47,1994,1993,A,London Area Airports,GATWICK,BELFAST INTERNATIONAL,316,0,316,1964,1692,272,-83.91038513
10/9/2008 10:47,1994,1993,A,London Area Airports,GATWICK,BIRMINGHAM,239,0,239,88,0,88,171.5909119
10/9/2008 10:47,1994,1993,A,London Area Airports,GATWICK,BOURNEMOUTH,77,0,77,15,0,15,413.3333435
10/9/2008 10:47,1994,1993,A,London Area Airports,GATWICK,CARDIFF WALES,16,0,16,220,0,220,-92.72727203
10/9/2008 10:47,1994,1993,A,London Area Airports,GATWICK,CITY OF DERRY (EGLINTON),0,0,0,223,0,223,
10/9/2008 10:47,1994,1993,A,London Area Airports,GATWICK,DURHAM TEES VALLEY,162,25,137,220,0,220,-26.36363602
10/9/2008 10:47,1994,1993,A,London Area Airports,GATWICK,EAST MIDLANDS INTERNATIONAL,194,0,194,2,0,2,9600
10/9/2008 10:47,1994,1993,A,London Area Airports,GATWICK,EDINBURGH,202955,202018,937,189871,189664,207,6.890994549
10/9/2008 10:47,1994,1993,A,London Area Airports,GATWICK,EXETER,2,0,2,0,0,0,
10/9/2008 10:47,1994,1993,A,London Area Airports,GATWICK,FILTON,5,0,5,0,0,0,
10/9/2008 10:47,1994,1993,A,London Area Airports,GATWICK,GLASGOW,190918,189809,1109,175984,175141,843,8.485999107
10/9/2008 10:47,1994,1993,A,London Area Airports,GATWICK,GUERNSEY,189573,189436,137,175218,175215,3,8.192651749
10/9/2008 10:47,1994,1993,A,London Area Airports,GATWICK,HEATHROW,3,0,3,0,0,0,
10/9/2008 10:47,1994,1993,A,London Area Airports,GATWICK,ISLE OF MAN,0,0,0,473,0,473,
10/9/2008 10:47,1994,1993,A,London Area Airports,GATWICK,JERSEY,276009,267581,8428,249195,244752,4443,10.76024818
10/9/2008 10:47,1994,1993,A,London Area Airports,GATWICK,LEEDS BRADFORD,22824,22628,196,2987,2949,38,664.111145
10/9/2008 10:47,1994,1993,A,London Area Airports,GATWICK,LIVERPOOL,125,0,125,29,0,29,331.0344849
10/9/2008 10:47,1994,1993,A,London Area Airports,GATWICK,LUTON,14,0,14,0,0,0,
10/9/2008 10:47,1994,1993,A,London Area Airports,GATWICK,LYDD,0,0,0,2,0,2,
10/9/2008 10:47,1994,1993,A,London Area Airports,GATWICK,MANCHESTER,254769,252733,2036,212946,212173,773,19.64019012
10/9/2008 10:47,1994,1993,A,London Area Airports,GATWICK,NEWCASTLE,74777,74541,236,64292,64156,136,16.30840492
10/9/2008 10:47,1994,1993,A,London Area Airports,GATWICK,STANSTED,0,0,0,6,0,6,
10/9/2008 10:47,1994,1993,A,London Area Airports,HEATHROW,ABERDEEN,481625,481625,0,469604,469553,51,2.55981636
10/9/2008 10:47,1994,1993,A,London Area Airports,HEATHROW,BELFAST CITY (GEORGE BEST),82089,82065,24,13763,13763,0,496.446991
10/9/2008 10:47,1994,1993,A,London Area Airports,HEATHROW,BELFAST INTERNATIONAL,1068643,1068469,174,1119614,1119551,63,-4.55255127
10/9/2008 10:47,1994,1993,A,London Area Airports,HEATHROW,BIRMINGHAM,600,0,600,70810,70335,475,-99.15266418
10/9/2008 10:47,1994,1993,A,London Area Airports,HEATHROW,BRISTOL,519,19,500,0,0,0,
10/9/2008 10:47,1994,1993,A,London Area Airports,HEATHROW,CAMBRIDGE,0,0,0,40,0,40,
10/9/2008 10:47,1994,1993,A,London Area Airports,HEATHROW,CARDIFF WALES,465,154,311,201,0,201,131.343277
10/9/2008 10:47,1994,1993,A,London Area Airports,HEATHROW,DURHAM TEES VALLEY,175811,175811,0,162322,162322,0,8.310026169
10/9/2008 10:47,1994,1993,A,London Area Airports,HEATHROW,EAST MIDLANDS INTERNATIONAL,660,261,399,259,59,200,154.8262482
10/9/2008 10:47,1994,1993,A,London Area Airports,HEATHROW,EDINBURGH,1478916,1478858,58,1375202,1375202,0,7.541728497
10/9/2008 10:47,1994,1993,A,London Area Airports,HEATHROW,FAIRFORD,400,0,400,0,0,0,
10/9/2008 10:47,1994,1993,A,London Area Airports,HEATHROW,FARNBOROUGH,98,0,98,0,0,0,
10/9/2008 10:47,1994,1993,A,London Area Airports,HEATHROW,GLASGOW,1429358,1428816,542,1328511,1328346,165,7.590979576
10/9/2008 10:47,1994,1993,A,London Area Airports,HEATHROW,GUERNSEY,90150,90150,0,79255,79255,0,13.74676704
10/9/2008 10:47,1994,1993,A,London Area Airports,HEATHROW,HUMBERSIDE,200,0,200,200,0,200,0
10/9/2008 10:47,1994,1993,A,London Area Airports,HEATHROW,INVERNESS,195540,195406,134,169435,169435,0,15.40708828
10/9/2008 10:47,1994,1993,A,London Area Airports,HEATHROW,ISLE OF MAN,116819,116819,0,109269,109231,38,6.909553528
10/9/2008 10:47,1994,1993,A,London Area Airports,HEATHROW,JERSEY,259267,258862,405,281371,280786,585,-7.855820179
10/9/2008 10:47,1994,1993,A,London Area Airports,HEATHROW,KENT INTERNATIONAL,347,0,347,400,0,400,-13.25
10/9/2008 10:47,1994,1993,A,London Area Airports,HEATHROW,LEEDS BRADFORD,191888,191489,399,178574,177875,699,7.455732822
10/9/2008 10:47,1994,1993,A,London Area Airports,HEATHROW,LEUCHARS,129,0,129,132,0,132,-2.272727251
10/9/2008 10:47,1994,1993,A,London Area Airports,HEATHROW,LIVERPOOL,240,0,240,237,0,237,1.265822768
10/9/2008 10:47,1994,1993,A,London Area Airports,HEATHROW,LUTON,200,0,200,0,0,0,
10/9/2008 10:47,1994,1993,A,London Area Airports,HEATHROW,MANCHESTER,1024608,1023269,1339,928374,927348,1026,10.36586571
10/9/2008 10:47,1994,1993,A,London Area Airports,HEATHROW,NEWCASTLE,423677,423677,0,389403,389403,0,8.801678658
10/9/2008 10:47,1994,1993,A,London Area Airports,HEATHROW,NEWQUAY,28082,27928,154,30304,30304,0,-7.332365513
10/9/2008 10:47,1994,1993,A,London Area Airports,HEATHROW,PLYMOUTH,54304,54304,0,44330,44310,20,22.49943542
10/9/2008 10:47,1994,1993,A,London Area Airports,HEATHROW,PRESTWICK,20,0,20,0,0,0,
10/9/2008 10:47,1994,1993,A,London Area Airports,HEATHROW,WICK,0,0,0,52,0,52,
10/9/2008 10:47,1994,1993,A,London Area Airports,LONDON CITY,CITY OF DERRY (EGLINTON),80,0,80,0,0,0,
10/9/2008 10:47,1994,1993,A,London Area Airports,LONDON CITY,HUMBERSIDE,703,703,0,0,0,0,
10/9/2008 10:47,1994,1993,A,London Area Airports,LONDON CITY,LIVERPOOL,12326,12326,0,33,0,33,37251.51563
10/9/2008 10:47,1994,1993,A,London Area Airports,LUTON,ABERDEEN,6,0,6,0,0,0,
10/9/2008 10:47,1994,1993,A,London Area Airports,LUTON,BELFAST CITY (GEORGE BEST),73022,73022,0,35737,35619,118,104.3316422
10/9/2008 10:47,1994,1993,A,London Area Airports,LUTON,BELFAST INTERNATIONAL,3677,3612,65,121833,121801,32,-96.98193359
10/9/2008 10:47,1994,1993,A,London Area Airports,LUTON,BRISTOL,8,0,8,0,0,0,
10/9/2008 10:47,1994,1993,A,London Area Airports,LUTON,CAMBRIDGE,0,0,0,2,0,2,
10/9/2008 10:47,1994,1993,A,London Area Airports,LUTON,EDINBURGH,449,0,449,0,0,0,
10/9/2008 10:47,1994,1993,A,London Area Airports,LUTON,GLASGOW,0,0,0,96,0,96,
10/9/2008 10:47,1994,1993,A,London Area Airports,LUTON,ISLE OF MAN,19751,19751,0,16337,16337,0,20.89735031
10/9/2008 10:47,1994,1993,A,London Area Airports,LUTON,JERSEY,11922,10775,1147,11681,10431,1250,2.063179493
10/9/2008 10:47,1994,1993,A,London Area Airports,LUTON,LIVERPOOL,0,0,0,1,0,1,
10/9/2008 10:47,1994,1993,A,London Area Airports,LUTON,LUTON,119,0,119,0,0,0,
10/9/2008 10:47,1994,1993,A,London Area Airports,LUTON,MANCHESTER,408,0,408,40,0,40,920
