rundate,this_period,last_period,grp_cd,grp_name,apt1_apt_name,apt2_apt_name,total_pax_tp,total_pax_shd_tp,total_pax_cht_tp,total_pax_lp,total_pax_shd_lp,total_pax_cht_lp,total_pax_pc
08/03/2010 14:19,2009,2008,A,London Area Airports,GATWICK,ABERDEEN,135545,135543,2,147978,147944,34,-8.401925087
08/03/2010 14:19,2009,2008,A,London Area Airports,GATWICK,BELFAST CITY (GEORGE BEST),215485,215485,0,189398,189398,0,13.77364063
08/03/2010 14:19,2009,2008,A,London Area Airports,GATWICK,BELFAST INTERNATIONAL,309976,309922,54,347377,347377,0,-10.76668835
08/03/2010 14:19,2009,2008,A,London Area Airports,GATWICK,BIRMINGHAM,1,0,1,0,0,0,
08/03/2010 14:19,2009,2008,A,London Area Airports,GATWICK,BLACKPOOL,36,0,36,33,0,33,9.090909004
08/03/2010 14:19,2009,2008,A,London Area Airports,GATWICK,CARDIFF WALES,219,0,219,116,0,116,88.79310608
08/03/2010 14:19,2009,2008,A,London Area Airports,GATWICK,DONCASTER SHEFFIELD,40,0,40,49,0,49,-18.36734772
08/03/2010 14:19,2009,2008,A,London Area Airports,GATWICK,DURHAM TEES VALLEY,84,0,84,58,0,58,44.82758713
08/03/2010 14:19,2009,2008,A,London Area Airports,GATWICK,EAST MIDLANDS INTERNATIONAL,0,0,0,49,0,49,
08/03/2010 14:19,2009,2008,A,London Area Airports,GATWICK,EDINBURGH,647908,647908,0,704906,704891,15,-8.08590126
08/03/2010 14:19,2009,2008,A,London Area Airports,GATWICK,GLASGOW,514660,514660,0,521878,521878,0,-1.383081913
08/03/2010 14:19,2009,2008,A,London Area Airports,GATWICK,GUERNSEY,341656,341656,0,338720,338720,0,0.866792619
08/03/2010 14:19,2009,2008,A,London Area Airports,GATWICK,HUMBERSIDE,0,0,0,41,0,41,
08/03/2010 14:19,2009,2008,A,London Area Airports,GATWICK,INVERNESS,224872,224792,80,243168,242645,523,-7.52401638
08/03/2010 14:19,2009,2008,A,London Area Airports,GATWICK,ISLE OF MAN,126462,126348,114,147409,147324,85,-14.21012306
08/03/2010 14:19,2009,2008,A,London Area Airports,GATWICK,JERSEY,555971,555906,65,517899,517899,0,7.351240158
08/03/2010 14:19,2009,2008,A,London Area Airports,GATWICK,LEEDS BRADFORD,30431,30431,0,262,0,262,11514.88574
08/03/2010 14:19,2009,2008,A,London Area Airports,GATWICK,LIVERPOOL,40,0,40,213,0,213,-81.22065735
08/03/2010 14:19,2009,2008,A,London Area Airports,GATWICK,MANCHESTER,288191,287665,526,344031,343000,1031,-16.23109627
08/03/2010 14:19,2009,2008,A,London Area Airports,GATWICK,NEWCASTLE,110583,110429,154,101400,101212,188,9.056213379
08/03/2010 14:19,2009,2008,A,London Area Airports,GATWICK,NEWQUAY,100918,100918,0,63435,63435,0,59.08883286
08/03/2010 14:19,2009,2008,A,London Area Airports,GATWICK,PLYMOUTH,57516,57516,0,60546,60546,0,-5.004459381
08/03/2010 14:19,2009,2008,A,London Area Airports,HEATHROW,ABERDEEN,641294,641294,0,656034,656034,0,-2.246834755
08/03/2010 14:19,2009,2008,A,London Area Airports,HEATHROW,BELFAST CITY (GEORGE BEST),522676,522676,0,521913,521913,0,0.146192953
08/03/2010 14:19,2009,2008,A,London Area Airports,HEATHROW,BELFAST INTERNATIONAL,266819,266819,0,258033,258033,0,3.404990911
08/03/2010 14:19,2009,2008,A,London Area Airports,HEATHROW,CITY OF DERRY (EGLINTON),262,0,262,0,0,0,
08/03/2010 14:19,2009,2008,A,London Area Airports,HEATHROW,DURHAM TEES VALLEY,13852,13852,0,81407,81407,0,-82.98426056
08/03/2010 14:19,2009,2008,A,London Area Airports,HEATHROW,EDINBURGH,1306065,1305830,235,1318962,1318962,0,-0.977814376
08/03/2010 14:19,2009,2008,A,London Area Airports,HEATHROW,GLASGOW,1079970,1079970,0,1143533,1143426,107,-5.558475494
08/03/2010 14:19,2009,2008,A,London Area Airports,HEATHROW,INVERNESS,0,0,0,7899,7899,0,
08/03/2010 14:19,2009,2008,A,London Area Airports,HEATHROW,JERSEY,18519,18519,0,76679,76679,0,-75.84867096
08/03/2010 14:19,2009,2008,A,London Area Airports,HEATHROW,LEEDS BRADFORD,21160,21160,0,126069,126069,0,-83.21553802
08/03/2010 14:19,2009,2008,A,London Area Airports,HEATHROW,LIVERPOOL,368,0,368,97,0,97,279.3814392
08/03/2010 14:19,2009,2008,A,London Area Airports,HEATHROW,MANCHESTER,908723,908723,0,910101,910009,92,-0.151411772
08/03/2010 14:19,2009,2008,A,London Area Airports,HEATHROW,NEWCASTLE,475432,475432,0,462615,462615,0,2.770554304
08/03/2010 14:19,2009,2008,A,London Area Airports,HEATHROW,PRESTWICK,0,0,0,118,0,118,
08/03/2010 14:19,2009,2008,A,London Area Airports,LONDON CITY,BELFAST CITY (GEORGE BEST),0,0,0,6692,6692,0,
08/03/2010 14:19,2009,2008,A,London Area Airports,LONDON CITY,DUNDEE,41297,41297,0,40089,40089,0,3.013295412
08/03/2010 14:19,2009,2008,A,London Area Airports,LONDON CITY,EDINBURGH,326553,326553,0,371507,371507,0,-12.10044479
08/03/2010 14:19,2009,2008,A,London Area Airports,LONDON CITY,GLASGOW,114920,114920,0,112736,112736,0,1.93726933
08/03/2010 14:19,2009,2008,A,London Area Airports,LONDON CITY,GUERNSEY,5,0,5,0,0,0,
08/03/2010 14:19,2009,2008,A,London Area Airports,LONDON CITY,ISLE OF MAN,60521,60521,0,29147,29147,0,107.6405792
