rundate,this_period,last_period,grp_cd,grp_name,apt1_apt_name,apt2_apt_name,total_pax_tp,total_pax_shd_tp,total_pax_cht_tp,total_pax_lp,total_pax_shd_lp,total_pax_cht_lp,total_pax_pc
10/13/2008 13:11,1992,1991,A,London Area Airports,GATWICK,ABERDEEN,159811,159811,0,154046,154046,0,3.742388725
10/13/2008 13:11,1992,1991,A,London Area Airports,GATWICK,ALDERNEY,0,0,0,2,0,2,
10/13/2008 13:11,1992,1991,A,London Area Airports,GATWICK,ANGLESEY (VALLEY),0,0,0,238,0,238,
10/13/2008 13:11,1992,1991,A,London Area Airports,GATWICK,BELFAST INTERNATIONAL,1914,1438,476,20121,19993,128,-90.48754883
10/13/2008 13:11,1992,1991,A,London Area Airports,GATWICK,BIRMINGHAM,0,0,0,3243,2962,281,
10/13/2008 13:11,1992,1991,A,London Area Airports,GATWICK,BOURNEMOUTH,13,0,13,0,0,0,
10/13/2008 13:11,1992,1991,A,London Area Airports,GATWICK,CARDIFF WALES,802,0,802,0,0,0,
10/13/2008 13:11,1992,1991,A,London Area Airports,GATWICK,DURHAM TEES VALLEY,0,0,0,2282,2282,0,
10/13/2008 13:11,1992,1991,A,London Area Airports,GATWICK,EAST MIDLANDS INTERNATIONAL,0,0,0,206,0,206,
10/13/2008 13:11,1992,1991,A,London Area Airports,GATWICK,EDINBURGH,173019,172970,49,181032,180828,204,-4.426289082
10/13/2008 13:11,1992,1991,A,London Area Airports,GATWICK,EXETER,0,0,0,10,10,0,
10/13/2008 13:11,1992,1991,A,London Area Airports,GATWICK,GLASGOW,167441,167435,6,169378,169025,353,-1.143595934
10/13/2008 13:11,1992,1991,A,London Area Airports,GATWICK,GUERNSEY,153383,153278,105,88691,85348,3343,72.94088745
10/13/2008 13:11,1992,1991,A,London Area Airports,GATWICK,HUMBERSIDE,198,0,198,0,0,0,
10/13/2008 13:11,1992,1991,A,London Area Airports,GATWICK,INVERNESS,0,0,0,200,200,0,
10/13/2008 13:11,1992,1991,A,London Area Airports,GATWICK,ISLE OF MAN,33,0,33,0,0,0,
10/13/2008 13:11,1992,1991,A,London Area Airports,GATWICK,JERSEY,238967,235985,2982,140353,139744,609,70.26141357
10/13/2008 13:11,1992,1991,A,London Area Airports,GATWICK,LUTON,11,0,11,94,0,94,-88.29787445
10/13/2008 13:11,1992,1991,A,London Area Airports,GATWICK,MANCHESTER,186951,185691,1260,165627,164599,1028,12.87471199
10/13/2008 13:11,1992,1991,A,London Area Airports,GATWICK,NEWCASTLE,66074,65851,223,81044,81043,1,-18.47144699
10/13/2008 13:11,1992,1991,A,London Area Airports,GATWICK,NEWQUAY,0,0,0,80,0,80,
10/13/2008 13:11,1992,1991,A,London Area Airports,GATWICK,PLYMOUTH,38,0,38,2494,2494,0,-98.47634125
10/13/2008 13:11,1992,1991,A,London Area Airports,GATWICK,PRESTWICK,0,0,0,27,0,27,
10/13/2008 13:11,1992,1991,A,London Area Airports,GATWICK,SOUTHEND,1,0,1,0,0,0,
10/13/2008 13:11,1992,1991,A,London Area Airports,GATWICK,STANSTED,52,0,52,0,0,0,
10/13/2008 13:11,1992,1991,A,London Area Airports,HEATHROW,ABERDEEN,463438,463423,15,437792,437728,64,5.85803318
10/13/2008 13:11,1992,1991,A,London Area Airports,HEATHROW,BELFAST INTERNATIONAL,1173780,1173767,13,1159730,1159730,0,1.211488843
10/13/2008 13:11,1992,1991,A,London Area Airports,HEATHROW,BIRMINGHAM,63609,62944,665,79664,79314,350,-20.1533947
10/13/2008 13:11,1992,1991,A,London Area Airports,HEATHROW,CARDIFF WALES,201,0,201,300,0,300,-33
10/13/2008 13:11,1992,1991,A,London Area Airports,HEATHROW,CARLISLE,0,0,0,116,0,116,
10/13/2008 13:11,1992,1991,A,London Area Airports,HEATHROW,DURHAM TEES VALLEY,172527,172514,13,173551,173477,74,-0.590028286
10/13/2008 13:11,1992,1991,A,London Area Airports,HEATHROW,EAST MIDLANDS INTERNATIONAL,56875,56201,674,66227,65900,327,-14.12112904
10/13/2008 13:11,1992,1991,A,London Area Airports,HEATHROW,EDINBURGH,1307585,1307585,0,1277693,1277614,79,2.339529037
10/13/2008 13:11,1992,1991,A,London Area Airports,HEATHROW,EXETER,0,0,0,98,0,98,
