rundate,this_period,last_period,grp_cd,grp_name,apt1_apt_name,apt2_apt_name,total_pax_tp,total_pax_shd_tp,total_pax_cht_tp,total_pax_lp,total_pax_shd_lp,total_pax_cht_lp,total_pax_pc
06/03/2014 16:01,2013,2012,A,London Area Airports,GATWICK,ABERDEEN,173231,173231,0,233921,233466,455,-25.94465637
06/03/2014 16:01,2013,2012,A,London Area Airports,GATWICK,BELFAST CITY (GEORGE BEST),406464,405249,1215,280503,280476,27,44.90540314
06/03/2014 16:01,2013,2012,A,London Area Airports,GATWICK,BELFAST INTERNATIONAL,385696,385222,474,353248,352707,541,9.185614586
06/03/2014 16:01,2013,2012,A,London Area Airports,GATWICK,BLACKPOOL,99,0,99,37,0,37,167.5675659
06/03/2014 16:01,2013,2012,A,London Area Airports,GATWICK,CARDIFF WALES,41,0,41,76,0,76,-46.05263138
06/03/2014 16:01,2013,2012,A,London Area Airports,GATWICK,CITY OF DERRY (EGLINTON),203,0,203,0,0,0,
06/03/2014 16:01,2013,2012,A,London Area Airports,GATWICK,DONCASTER SHEFFIELD,0,0,0,38,0,38,
06/03/2014 16:01,2013,2012,A,London Area Airports,GATWICK,DURHAM TEES VALLEY,73,0,73,0,0,0,
06/03/2014 16:01,2013,2012,A,London Area Airports,GATWICK,EAST MIDLANDS INTERNATIONAL,0,0,0,145,145,0,
06/03/2014 16:01,2013,2012,A,London Area Airports,GATWICK,EDINBURGH,693686,693686,0,696791,696746,45,-0.445614249
06/03/2014 16:01,2013,2012,A,London Area Airports,GATWICK,GLASGOW,606263,606263,0,607417,607163,254,-0.189984798
06/03/2014 16:01,2013,2012,A,London Area Airports,GATWICK,GUERNSEY,345779,345779,0,344782,344782,0,0.289168239
06/03/2014 16:01,2013,2012,A,London Area Airports,GATWICK,HEATHROW,0,0,0,35,0,35,
06/03/2014 16:01,2013,2012,A,London Area Airports,GATWICK,HUMBERSIDE,106,0,106,0,0,0,
06/03/2014 16:01,2013,2012,A,London Area Airports,GATWICK,INVERNESS,219320,219320,0,230442,230224,218,-4.826376915
06/03/2014 16:01,2013,2012,A,London Area Airports,GATWICK,ISLE OF MAN,184173,184173,0,143466,143428,38,28.37397003
06/03/2014 16:01,2013,2012,A,London Area Airports,GATWICK,JERSEY,537414,537353,61,553962,553962,0,-2.987208605
06/03/2014 16:01,2013,2012,A,London Area Airports,GATWICK,LEEDS BRADFORD,58,0,58,177,0,177,-67.23163605
06/03/2014 16:01,2013,2012,A,London Area Airports,GATWICK,LIVERPOOL (JOHN LENNON),185,0,185,369,0,369,-49.86449814
06/03/2014 16:01,2013,2012,A,London Area Airports,GATWICK,MANCHESTER,41321,41164,157,194568,193695,873,-78.76269531
06/03/2014 16:01,2013,2012,A,London Area Airports,GATWICK,NEWCASTLE,81813,81455,358,84319,84278,41,-2.972046614
06/03/2014 16:01,2013,2012,A,London Area Airports,GATWICK,NEWQUAY,92609,92609,0,96181,96181,0,-3.713831186
06/03/2014 16:01,2013,2012,A,London Area Airports,GATWICK,NORWICH,80,0,80,32,0,32,150
