rundate,this_period,last_period,grp_cd,grp_name,apt1_apt_name,apt2_apt_name,total_pax_tp,total_pax_shd_tp,total_pax_cht_tp,total_pax_lp,total_pax_shd_lp,total_pax_cht_lp,total_pax_pc
10/15/2008 10:35,1990,1989,A,London Area Airports,GATWICK,ABERDEEN,128772,128672,100,57994,57725,269,122.043663
10/15/2008 10:35,1990,1989,A,London Area Airports,GATWICK,BELFAST INTERNATIONAL,88966,88840,126,50431,50133,298,76.41133118
10/15/2008 10:35,1990,1989,A,London Area Airports,GATWICK,BIGGIN HILL,9,0,9,2,0,2,350
10/15/2008 10:35,1990,1989,A,London Area Airports,GATWICK,BIRMINGHAM,19732,19732,0,9279,9279,0,112.6522217
10/15/2008 10:35,1990,1989,A,London Area Airports,GATWICK,BRISTOL,9,0,9,2,0,2,350
10/15/2008 10:35,1990,1989,A,London Area Airports,GATWICK,CARDIFF WALES,0,0,0,892,0,892,
10/15/2008 10:35,1990,1989,A,London Area Airports,GATWICK,COAL ASTON,47,47,0,0,0,0,
10/15/2008 10:35,1990,1989,A,London Area Airports,GATWICK,CULDROSE,60,30,30,134,0,134,-55.22388077
10/15/2008 10:35,1990,1989,A,London Area Airports,GATWICK,EAST MIDLANDS INTERNATIONAL,2,0,2,0,0,0,
10/15/2008 10:35,1990,1989,A,London Area Airports,GATWICK,EDINBURGH,273839,273764,75,130018,129677,341,110.6162186
10/15/2008 10:35,1990,1989,A,London Area Airports,GATWICK,EXETER,0,0,0,9,0,9,
10/15/2008 10:35,1990,1989,A,London Area Airports,GATWICK,GATWICK,0,0,0,71,0,71,
10/15/2008 10:35,1990,1989,A,London Area Airports,GATWICK,GLASGOW,197082,196973,109,114077,114077,0,72.76226044
10/15/2008 10:35,1990,1989,A,London Area Airports,GATWICK,GUERNSEY,103630,103233,397,46557,46494,63,122.5873642
10/15/2008 10:35,1990,1989,A,London Area Airports,GATWICK,HAVERFORD WEST,190,0,190,0,0,0,
10/15/2008 10:35,1990,1989,A,London Area Airports,GATWICK,HEATHROW,161,0,161,39,0,39,312.8205261
10/15/2008 10:35,1990,1989,A,London Area Airports,GATWICK,INVERNESS,60041,60041,0,37237,36946,291,61.24016571
10/15/2008 10:35,1990,1989,A,London Area Airports,GATWICK,JERSEY,213814,212012,1802,130284,127486,2798,64.11378479
10/15/2008 10:35,1990,1989,A,London Area Airports,GATWICK,KENT INTERNATIONAL,476,0,476,0,0,0,
10/15/2008 10:35,1990,1989,A,London Area Airports,GATWICK,KINLOSS,0,0,0,75,75,0,
10/15/2008 10:35,1990,1989,A,London Area Airports,GATWICK,LASHAM,10,0,10,0,0,0,
10/15/2008 10:35,1990,1989,A,London Area Airports,GATWICK,LEEDS BRADFORD,13255,13243,12,14428,14401,27,-8.13002491
10/15/2008 10:35,1990,1989,A,London Area Airports,GATWICK,LERWICK (TINGWALL),42,42,0,0,0,0,
10/15/2008 10:35,1990,1989,A,London Area Airports,GATWICK,LEUCHARS,46,0,46,0,0,0,
10/15/2008 10:35,1990,1989,A,London Area Airports,GATWICK,LIVERPOOL,1,0,1,0,0,0,
10/15/2008 10:35,1990,1989,A,London Area Airports,GATWICK,LONDON CITY,22,0,22,0,0,0,
10/15/2008 10:35,1990,1989,A,London Area Airports,GATWICK,LUTON,50,0,50,107,107,0,-53.27102661
10/15/2008 10:35,1990,1989,A,London Area Airports,GATWICK,LYDD,7,0,7,0,0,0,
10/15/2008 10:35,1990,1989,A,London Area Airports,GATWICK,MANCHESTER,155910,153814,2096,74023,71698,2325,110.6237259
10/15/2008 10:35,1990,1989,A,London Area Airports,GATWICK,NEWCASTLE,90717,90716,1,40665,40585,80,123.0837326
10/15/2008 10:35,1990,1989,A,London Area Airports,GATWICK,PLYMOUTH,24022,24022,0,13088,13088,0,83.54217529
10/15/2008 10:35,1990,1989,A,London Area Airports,GATWICK,PRESTWICK,108,0,108,60,47,13,80
10/15/2008 10:35,1990,1989,A,London Area Airports,GATWICK,SOUTHEND,6,0,6,0,0,0,
10/15/2008 10:35,1990,1989,A,London Area Airports,GATWICK,STANSTED,3,0,3,82,0,82,-96.34146118
10/15/2008 10:35,1990,1989,A,London Area Airports,GATWICK,SUMBURGH,0,0,0,8,8,0,
10/15/2008 10:35,1990,1989,A,London Area Airports,HEATHROW,ABERDEEN,464649,464629,20,227141,227141,0,104.5641251
10/15/2008 10:35,1990,1989,A,London Area Airports,HEATHROW,BELFAST INTERNATIONAL,1116606,1113692,2914,617441,617344,97,80.84416199
10/15/2008 10:35,1990,1989,A,London Area Airports,HEATHROW,BIRMINGHAM,117082,117065,17,57053,56941,112,105.2162018
10/15/2008 10:35,1990,1989,A,London Area Airports,HEATHROW,BRISTOL,0,0,0,66,66,0,
10/15/2008 10:35,1990,1989,A,London Area Airports,HEATHROW,CARDIFF WALES,189,189,0,0,0,0,
10/15/2008 10:35,1990,1989,A,London Area Airports,HEATHROW,DURHAM TEES VALLEY,196722,196661,61,99246,99098,148,98.21655273
10/15/2008 10:35,1990,1989,A,London Area Airports,HEATHROW,EAST MIDLANDS INTERNATIONAL,88812,88534,278,47375,47307,68,87.46596527
10/15/2008 10:35,1990,1989,A,London Area Airports,HEATHROW,EDINBURGH,1394268,1394196,72,697959,697911,48,99.76359558
10/15/2008 10:35,1990,1989,A,London Area Airports,HEATHROW,EXETER,100,0,100,358,35,323,-72.06703949
10/15/2008 10:35,1990,1989,A,London Area Airports,HEATHROW,GLASGOW,1416159,1416122,37,687531,687531,0,105.977478
10/15/2008 10:35,1990,1989,A,London Area Airports,HEATHROW,GUERNSEY,131800,131800,0,73231,73231,0,79.97842407
10/15/2008 10:35,1990,1989,A,London Area Airports,HEATHROW,HEATHROW,96,45,51,0,0,0,
10/15/2008 10:35,1990,1989,A,London Area Airports,HEATHROW,HUMBERSIDE,24415,24378,37,19866,19865,1,22.89842033
10/15/2008 10:35,1990,1989,A,London Area Airports,HEATHROW,INVERNESS,133206,133206,0,68491,68491,0,94.48686981
10/15/2008 10:35,1990,1989,A,London Area Airports,HEATHROW,ISLE OF MAN,122960,122903,57,65001,64889,112,89.1663208
10/15/2008 10:35,1990,1989,A,London Area Airports,HEATHROW,JERSEY,288327,288237,90,137318,137318,0,109.9702911
10/15/2008 10:35,1990,1989,A,London Area Airports,HEATHROW,LEEDS BRADFORD,225341,225083,258,108938,108938,0,106.8525238
10/15/2008 10:35,1990,1989,A,London Area Airports,HEATHROW,LEUCHARS,0,0,0,130,0,130,
10/15/2008 10:35,1990,1989,A,London Area Airports,HEATHROW,LIVERPOOL,112076,112039,37,58329,58329,0,92.14456177
10/15/2008 10:35,1990,1989,A,London Area Airports,HEATHROW,LONDON CITY,17,17,0,0,0,0,
10/15/2008 10:35,1990,1989,A,London Area Airports,HEATHROW,LUTON,305,231,74,0,0,0,
10/15/2008 10:35,1990,1989,A,London Area Airports,HEATHROW,MANCHESTER,1036500,1036396,104,480679,480486,193,115.6324692
10/15/2008 10:35,1990,1989,A,London Area Airports,HEATHROW,NEWCASTLE,388923,388923,0,193945,193945,0,100.5326233
