rundate,this_period,last_period,grp_name,apt1_apt_name,apt2_apt_name,total_pax_tp,total_pax_shd_tp,total_pax_cht_tp,total_pax_lp,total_pax_shd_lp,total_pax_cht_lp,total_pax_pc
05/03/2007 13:30,2006,2005,London Area Airports,GATWICK,ABERDEEN,216677,216677,0,217287,217287,0,-0.280734688
05/03/2007 13:30,2006,2005,London Area Airports,GATWICK,BELFAST CITY,198079,197872,207,207748,207748,0,-4.654196262
05/03/2007 13:30,2006,2005,London Area Airports,GATWICK,BELFAST INTERNATIONAL,362388,362205,183,355023,355023,0,2.074513435
05/03/2007 13:30,2006,2005,London Area Airports,GATWICK,BIRMINGHAM,59,59,0,0,0,0,
05/03/2007 13:30,2006,2005,London Area Airports,GATWICK,BLACKPOOL,46,0,46,0,0,0,
05/03/2007 13:30,2006,2005,London Area Airports,GATWICK,BOURNEMOUTH,17,0,17,0,0,0,
05/03/2007 13:30,2006,2005,London Area Airports,GATWICK,BRISTOL,0,0,0,5,0,5,
05/03/2007 13:30,2006,2005,London Area Airports,GATWICK,CARDIFF WALES,2,0,2,90,0,90,-97.77777863
05/03/2007 13:30,2006,2005,London Area Airports,GATWICK,DURHAM TEES VALLEY,42439,40503,1936,6606,6606,0,542.4311523
05/03/2007 13:30,2006,2005,London Area Airports,GATWICK,EDINBURGH,754106,753746,360,753793,753793,0,0.041523337
05/03/2007 13:30,2006,2005,London Area Airports,GATWICK,GLASGOW,433003,433003,0,372263,372263,0,16.31642151
05/03/2007 13:30,2006,2005,London Area Airports,GATWICK,GUERNSEY,352752,352752,0,347934,347934,0,1.384745359
05/03/2007 13:30,2006,2005,London Area Airports,GATWICK,INVERNESS,240771,240771,0,235041,235041,0,2.437872648
05/03/2007 13:30,2006,2005,London Area Airports,GATWICK,ISLE OF MAN,117977,117843,134,114110,114110,0,3.38883543
05/03/2007 13:30,2006,2005,London Area Airports,GATWICK,JERSEY,538343,538343,0,521328,521328,0,3.263780117
05/03/2007 13:30,2006,2005,London Area Airports,GATWICK,LIVERPOOL,152,0,152,648,0,648,-76.54321289
