"","name","country"
"1","GATWICK","England"
"2","HEATHROW","England"
"3","LONDON CITY","England"
"4","LUTON","England"
"5","SOUTHEND","England"
"6","STANSTED","England"
"7","ABERDEEN","Scotland"
"8","ALDERNEY","Channel Islands"
"9","BARRA","Scotland"
"10","BELFAST CITY","Northern Ireland"
"11","BELFAST INTERNATIONAL","Scotland"
"12","BEMBRIDGE","England"
"13","BENBECULA","Scotland"
"14","BIGGIN HILL","England"
"15","BIRMINGHAM","England"
"16","BLACKPOOL","England"
"17","BOURNEMOUTH","England"
"18","BRISTOL","England"
"19","CAMBRIDGE","England"
"20","CAMPBELTOWN","Scotland"
"21","CARDIFF WALES","Wales"
"22","CITY OF DERRY (EGLINTON)","Northern Ireland"
"23","COVENTRY","England"
"24","DONCASTER SHEFFIELD","England"
"25","DUNDEE","Scotland"
"26","DURHAM TEES VALLEY","England"
"27","EDAY","Scotland"
"28","EDINBURGH","Scotland"
"29","EXETER","England"
"30","FAIR ISLE","Scotland"
"31","FARNBOROUGH","England"
"32","FOULA","Scotland"
"33","GLASGOW","Scotland"
"34","GLOUCESTERSHIRE","England"
"35","GUERNSEY","Channel Islands"
"36","HUMBERSIDE","England"
"37","INVERNESS","Scotland"
"38","ISLE OF MAN","Isle of Man"
"39","ISLES OF SCILLY (ST.MARYS)","England"
"40","JERSEY","Channel Islands"
"41","KENT INTERNATIONAL","England"
"42","KIRKWALL","Scotland"
"43","LANDS END (ST JUST)","England"
"44","LEEDS BRADFORD","England"
"45","LERWICK  (TINGWALL)","Scotland"
"46","LEUCHARS","Scotland"
"47","LIVERPOOL","England"
"48","MANCHESTER","England"
"49","NEWCASTLE","England"
"50","NEWQUAY","England"
"51","NORTHOLT","England"
"52","NORWICH","England"
"53","NOTTINGHAM EAST MIDLANDS INT'L","England"
"54","OUT SKERRIES","Scotland"
"55","SOUTH MARSTON","England"
"56","SOUTHAMPTON","England"
"57","STORNOWAY","Scotland"
"58","SUMBURGH","Scotland"
"59","PLYMOUTH","England"
"60","WICK","Scotland"
"61","FAIRFORD","England"
"62","PRESTWICK","Scotland"
"63","SWANSEA","Wales"
"64","SCATSTA","Scotland"
"65","LYDD","England"
"66","KINLOSS","Scotland"
"67","PLOCKTON","Scotland"
"68","ISLAY","Scotland"
"69","FILTON","England"
"70","TIREE","Scotland"
"71","NORTH RONALDSAY","Scotland"
"72","PAPA WESTRAY","Scotland"
"73","SANDAY","Scotland"
"74","STRONSAY","Scotland"
"75","WESTRAY","Scotland"
"76","PAPA STOUR","Scotland"
