"","apt1_apt_name","apt2_apt_name","total_pax_tp","apt1_id","apt2_id"
"1","GATWICK","ABERDEEN",23.5825,0,6
"2","GATWICK","BELFAST CITY",24.0891,0,9
"3","GATWICK","BELFAST INTERNATIONAL",0,0,10
"4","GATWICK","BIRMINGHAM",0.0155,0,13
"5","GATWICK","BOURNEMOUTH",8e-04,0,16
"6","GATWICK","BRISTOL",1.4014,0,17
"7","GATWICK","BRIZE NORTON",9e-04,0,18
"8","GATWICK","EDINBURGH",37.6614,0,27
"9","GATWICK","EXETER",0.0024,0,29
"10","GATWICK","GATWICK",0,0,0
"11","GATWICK","GLASGOW",35.645,0,33
"12","GATWICK","GUERNSEY",30.7659,0,35
"13","GATWICK","INVERNESS",15.0897,0,37
"14","GATWICK","ISLE OF MAN",0.0071,0,38
"15","GATWICK","JERSEY",50.9272,0,39
"16","GATWICK","KIRKWALL",0,0,40
"17","GATWICK","LEEDS BRADFORD",0.448,0,41
"18","GATWICK","LIVERPOOL",0.0027,0,43
"19","GATWICK","MANCHESTER",47.1446,0,46
"20","GATWICK","NEWCASTLE",19.9665,0,47
"21","GATWICK","NEWQUAY",5.9079,0,54
"22","GATWICK","PLYMOUTH",5.2428,0,55
"23","GATWICK","PRESTWICK",0,0,56
"24","GATWICK","STANSTED",0.0178,0,5
"25","GATWICK","TEESSIDE",0.0023,0,57
"26","HEATHROW","ABERDEEN",47.6933,1,6
"27","HEATHROW","BELFAST CITY",9.9096,1,9
"28","HEATHROW","BELFAST INTERNATIONAL",87.6083,1,10
"29","HEATHROW","BIRMINGHAM",0,1,13
"30","HEATHROW","BLACKPOOL",0.006,1,15
"31","HEATHROW","BOURNEMOUTH",0,1,16
"32","HEATHROW","EDINBURGH",157.6686,1,27
"33","HEATHROW","EXETER",0,1,29
"34","HEATHROW","FILTON",0,1,32
"35","HEATHROW","GLASGOW",138.8375,1,33
"36","HEATHROW","INVERNESS",0.0033,1,37
"37","HEATHROW","ISLE OF MAN",11.2959,1,38
"38","HEATHROW","JERSEY",0.0676,1,39
"39","HEATHROW","KENT INTERNATIONAL",0,1,58
"40","HEATHROW","KINROSS",0,1,59
"41","HEATHROW","LEEDS BRADFORD",20.3931,1,41
"42","HEATHROW","LONDONDERRY",0.0158,1,44
"43","HEATHROW","MANCHESTER",128.3733,1,46
"44","HEATHROW","NEWCASTLE",45.966,1,47
"45","HEATHROW","PRESTWICK",0,1,56
"46","HEATHROW","SHEFFIELD CITY",0,1,50
"47","HEATHROW","STANSTED",0,1,5
"48","HEATHROW","TEESSIDE",15.6079,1,57
"49","HEATHROW","WATTISHAM",0,1,60
"50","HEATHROW","WICK",0,1,61
"51","LONDON CITY","ABERDEEN",4.2002,2,6
"52","LONDON CITY","BELFAST CITY",5.2182,2,9
"53","LONDON CITY","BELFAST INTERNATIONAL",0.0026,2,10
"54","LONDON CITY","BIGGIN HILL",0.001,2,12
"55","LONDON CITY","BIRMINGHAM",0.0032,2,13
"56","LONDON CITY","BOURNEMOUTH",0.0024,2,16
"57","LONDON CITY","BRISTOL",0.0028,2,17
"58","LONDON CITY","CARDIFF WALES",0.0028,2,21
"59","LONDON CITY","DUNDEE",4.6757,2,24
"60","LONDON CITY","EDINBURGH",16.3261,2,27
"61","LONDON CITY","EXETER",0.0049,2,29
"62","LONDON CITY","GLASGOW",3.2918,2,33
"63","LONDON CITY","GLOUCESTERSHIRE",0.0027,2,34
"64","LONDON CITY","HUMBERSIDE",0,2,36
"65","LONDON CITY","INVERNESS",0.1115,2,37
"66","LONDON CITY","ISLE OF MAN",2.9903,2,38
"67","LONDON CITY","JERSEY",8.8142,2,39
"68","LONDON CITY","LEEDS BRADFORD",0.0035,2,41
"69","LONDON CITY","LIVERPOOL",0.0113,2,43
