"","name","country"
"1","GATWICK","England"
"2","HEATHROW","England"
"3","LONDON CITY","England"
"4","LUTON","England"
"5","SOUTHEND","England"
"6","STANSTED","England"
"7","ABERDEEN","Scotland"
"8","ALDERNEY","Channel Islands"
"9","ANGLESEY (VALLEY)","Wales"
"10","BARRA","Scotland"
"11","BELFAST CITY (GEORGE BEST)","Northern Ireland"
"12","BELFAST INTERNATIONAL","Scotland"
"13","BENBECULA","Scotland"
"14","BIGGIN HILL","England"
"15","BIRMINGHAM","England"
"16","BLACKPOOL","England"
"17","BOURNEMOUTH","England"
"18","BRISTOL","England"
"19","CAMBRIDGE","England"
"20","CAMPBELTOWN","Scotland"
"21","CARDIFF WALES","Wales"
"22","CITY OF DERRY (EGLINTON)","Northern Ireland"
"23","COVENTRY","England"
"24","DONCASTER SHEFFIELD","England"
"25","DUNDEE","Scotland"
"26","DUNKESWELL","England"
"27","DURHAM TEES VALLEY","England"
"28","DUXFORD","England"
"29","EAST MIDLANDS INTERNATIONAL","England"
"30","EDAY","Scotland"
"31","EDINBURGH","Scotland"
"32","EXETER","England"
"33","FAIR ISLE","Scotland"
"34","FARNBOROUGH","England"
"35","FILTON","England"
"36","FOULA","Scotland"
"37","GLASGOW","Scotland"
"38","GLOUCESTERSHIRE","England"
"39","GUERNSEY","Channel Islands"
"40","HUMBERSIDE","England"
"41","INVERNESS","Scotland"
"42","ISLE OF MAN","Isle of Man"
"43","ISLES OF SCILLY (ST.MARYS)","England"
"44","JERSEY","Channel Islands"
"45","KENT INTERNATIONAL","England"
"46","KIRKWALL","Scotland"
"47","LEEDS BRADFORD","England"
"48","LERWICK (TINGWALL)","Scotland"
"49","LIVERPOOL","England"
"50","LYDD","England"
"51","MANCHESTER","England"
"52","NEWCASTLE","England"
"53","NEWQUAY","England"
"54","NORWICH","England"
"55","OBAN (NORTH CONNEL)","Scotland"
"56","SCATSTA","Scotland"
"57","SOUTH MARSTON","England"
"58","PLYMOUTH","England"
"59","PRESTWICK","Scotland"
"60","STORNOWAY","Scotland"
"61","WICK","Scotland"
"62","SUMBURGH","Scotland"
"63","ISLAY","Scotland"
"64","SOUTHAMPTON","England"
"65","SHOREHAM","England"
"66","LANDS END (ST JUST)","England"
"67","WARTON","England"
"68","WATTISHAM","England"
"69","TIREE","Scotland"
"70","NORTH RONALDSAY","Scotland"
"71","PAPA WESTRAY","Scotland"
"72","SANDAY","Scotland"
"73","STRONSAY","Scotland"
"74","WESTRAY","Scotland"
"75","OUT SKERRIES","Scotland"
"76","PAPA STOUR","Scotland"
"77","WOODVALE","England"
