"apt1_apt_name","apt2_apt_name","total_pax_tp","apt1_id","apt2_id"
"1","GATWICK","ABERDEEN",12.8772,0,6
"2","GATWICK","BELFAST INTERNATIONAL",8.8966,0,12
"3","GATWICK","BIGGIN HILL",9e-04,0,15
"4","GATWICK","BIRMINGHAM",1.9732,0,16
"5","GATWICK","BRISTOL",9e-04,0,20
"6","GATWICK","CARDIFF WALES",0,0,24
"7","GATWICK","COAL ASTON",0.0047,0,65
"8","GATWICK","CULDROSE",0.006,0,66
"9","GATWICK","EAST MIDLANDS INTERNATIONAL",2e-04,0,31
"10","GATWICK","EDINBURGH",27.3839,0,33
"11","GATWICK","EXETER",0,0,34
"12","GATWICK","GATWICK",0,0,0
"13","GATWICK","GLASGOW",19.7082,0,38
"14","GATWICK","GUERNSEY",10.363,0,40
"15","GATWICK","HAVERFORD WEST",0.019,0,67
"16","GATWICK","HEATHROW",0.0161,0,1
"17","GATWICK","INVERNESS",6.0041,0,44
"18","GATWICK","JERSEY",21.3814,0,47
"19","GATWICK","KENT INTERNATIONAL",0.0476,0,48
"20","GATWICK","KINLOSS",0,0,49
"21","GATWICK","LASHAM",0.001,0,68
"22","GATWICK","LEEDS BRADFORD",1.3255,0,51
"23","GATWICK","LERWICK (TINGWALL)",0.0042,0,69
"24","GATWICK","LEUCHARS",0.0046,0,52
"25","GATWICK","LIVERPOOL",1e-04,0,53
"26","GATWICK","LONDON CITY",0.0022,0,2
"27","GATWICK","LUTON",0.005,0,3
"28","GATWICK","LYDD",7e-04,0,70
"29","GATWICK","MANCHESTER",15.591,0,54
"30","GATWICK","NEWCASTLE",9.0717,0,55
"31","GATWICK","PLYMOUTH",2.4022,0,58
"32","GATWICK","PRESTWICK",0.0108,0,59
"33","GATWICK","SOUTHEND",6e-04,0,4
"34","GATWICK","STANSTED",3e-04,0,5
"35","GATWICK","SUMBURGH",0,0,64
"36","HEATHROW","ABERDEEN",46.4649,1,6
"37","HEATHROW","BELFAST INTERNATIONAL",111.6606,1,12
"38","HEATHROW","BIRMINGHAM",11.7082,1,16
"39","HEATHROW","BRISTOL",0,1,20
"40","HEATHROW","CARDIFF WALES",0.0189,1,24
"41","HEATHROW","DURHAM TEES VALLEY",19.6722,1,30
"42","HEATHROW","EAST MIDLANDS INTERNATIONAL",8.8812,1,31
"43","HEATHROW","EDINBURGH",139.4268,1,33
"44","HEATHROW","EXETER",0.01,1,34
"45","HEATHROW","GLASGOW",141.6159,1,38
"46","HEATHROW","GUERNSEY",13.18,1,40
"47","HEATHROW","HEATHROW",0.0096,1,1
"48","HEATHROW","HUMBERSIDE",2.4415,1,43
"49","HEATHROW","INVERNESS",13.3206,1,44
"50","HEATHROW","ISLE OF MAN",12.296,1,46
"51","HEATHROW","JERSEY",28.8327,1,47
"52","HEATHROW","LEEDS BRADFORD",22.5341,1,51
"53","HEATHROW","LEUCHARS",0,1,52
"54","HEATHROW","LIVERPOOL",11.2076,1,53
"55","HEATHROW","LONDON CITY",0.0017,1,2
"56","HEATHROW","LUTON",0.0305,1,3
"57","HEATHROW","MANCHESTER",103.65,1,54
"58","HEATHROW","NEWCASTLE",38.8923,1,55
"59","HEATHROW","NEWQUAY",4.12,1,56
"60","HEATHROW","NORWICH",0.0068,1,57
"61","HEATHROW","PLYMOUTH",3.7149,1,58
"62","HEATHROW","SOUTHAMPTON",0,1,61
"63","HEATHROW","STANSTED",0.0068,1,5
"64","LONDON CITY","BLACKPOOL",0.0077,2,18
"65","LONDON CITY","EXETER",0,2,34
"66","LONDON CITY","GUERNSEY",0,2,40
"67","LONDON CITY","INVERNESS",0.0088,2,44
"68","LONDON CITY","JERSEY",0.7447,2,47
"69","LONDON CITY","LIVERPOOL",0.016,2,53
"70","LONDON CITY","LYDD",0.0011,2,70
"71","LONDON CITY","MANCHESTER",0.0179,2,54
"72","LONDON CITY","NEWCASTLE",0.0082,2,55
"73","LONDON CITY","NEWQUAY",0.0086,2,56
"74","LONDON CITY","PLYMOUTH",0.0092,2,58
"75","LUTON","ABERDEEN",0.0118,3,6
"76","LUTON","BELFAST CITY (GEORGE BEST)",4.7837,3,11
"77","LUTON","BELFAST INTERNATIONAL",13.956,3,12
"78","LUTON","BIRMINGHAM",0.0518,3,16
"79","LUTON","BLACKPOOL",0.0022,3,18
"80","LUTON","BRISTOL",0.0098,3,20
"81","LUTON","CARDIFF WALES",0,3,24
"82","LUTON","DURHAM TEES VALLEY",0.018,3,30
"83","LUTON","EAST MIDLANDS INTERNATIONAL",0,3,31
"84","LUTON","EDINBURGH",0.0372,3,33
"85","LUTON","EXETER",0.0056,3,34
"86","LUTON","GLASGOW",0.0713,3,38
"87","LUTON","GUERNSEY",0.2488,3,40
"88","LUTON","HUMBERSIDE",0.0088,3,43
"89","LUTON","INVERNESS",0.0102,3,44
"90","LUTON","ISLE OF MAN",1.854,3,46
"91","LUTON","JERSEY",2.2915,3,47
"92","LUTON","LEEDS BRADFORD",0.1969,3,51
"93","LUTON","LEUCHARS",0.0021,3,52
"94","LUTON","LIVERPOOL",0.0027,3,53
"95","LUTON","MANCHESTER",0.0888,3,54
"96","LUTON","NEWCASTLE",0.0047,3,55
"97","LUTON","PRESTWICK",0.0411,3,59
"98","LUTON","SOUTHAMPTON",1e-04,3,61
"99","LUTON","SOUTHEND",0,3,4
"100","LUTON","STANSTED",0.013,3,5
"101","LUTON","WICK",0,3,71
"102","SOUTHEND","BELFAST INTERNATIONAL",0.0068,4,12
"103","SOUTHEND","BIRMINGHAM",0.0012,4,16
"104","SOUTHEND","BOURNEMOUTH",0.0078,4,19
"105","SOUTHEND","DURHAM TEES VALLEY",4e-04,4,30
"106","SOUTHEND","EDINBURGH",0,4,33
"107","SOUTHEND","GLASGOW",0.0161,4,38
"108","SOUTHEND","GUERNSEY",0.0553,4,40
"109","SOUTHEND","HATFIELD",0,4,41
"110","SOUTHEND","ISLE OF MAN",8e-04,4,46
"111","SOUTHEND","JERSEY",2.6236,4,47
"112","SOUTHEND","LEEDS BRADFORD",0.0014,4,51
"113","SOUTHEND","MANCHESTER",0.0029,4,54
"114","SOUTHEND","NEWCASTLE",0.0016,4,55
"115","SOUTHEND","NEWQUAY",0.0025,4,56
"116","SOUTHEND","PRESTWICK",1e-04,4,59
"117","SOUTHEND","PRIVATE STRIPS/HELIPADS",0,4,60
"118","SOUTHEND","STANSTED",0,4,5
"119","STANSTED","ABERDEEN",0.0202,5,6
"120","STANSTED","BELFAST INTERNATIONAL",0.0721,5,12
"121","STANSTED","BIRMINGHAM",0.0155,5,16
"122","STANSTED","CAMBRIDGE",0.0082,5,22
"123","STANSTED","COVENTRY",0.0069,5,27
"124","STANSTED","DUNDEE",0.0041,5,29
"125","STANSTED","EAST MIDLANDS INTERNATIONAL",0,5,31
"126","STANSTED","EDINBURGH",0.7781,5,33
"127","STANSTED","FAIRFORD",0,5,72
"128","STANSTED","GLASGOW",4.9796,5,38
"129","STANSTED","GUERNSEY",2.5524,5,40
"130","STANSTED","JERSEY",4.9035,5,47
"131","STANSTED","LEEDS BRADFORD",0.0092,5,51
"132","STANSTED","LIVERPOOL",3e-04,5,53
"133","STANSTED","MANCHESTER",0.1624,5,54
"134","STANSTED","NEWCASTLE",0.0167,5,55
"135","STANSTED","NORWICH",0.0209,5,57
"136","STANSTED","SOUTHAMPTON",0.0028,5,61
"137","STANSTED","WREXHAM",0,5,73
"138","ABERDEEN","BENBECULA",0.0082,6,14
"139","ABERDEEN","BIRMINGHAM",2.8543,6,16
"140","ABERDEEN","BLACKPOOL",0,6,18
"141","ABERDEEN","BOURNEMOUTH",0.0012,6,19
"142","ABERDEEN","BRAWDY",0,6,74
"143","ABERDEEN","BRISTOL",0.0041,6,20
"144","ABERDEEN","CITY OF DERRY (EGLINTON)",0.0023,6,26
"145","ABERDEEN","COLTISHALL",0.0015,6,75
"146","ABERDEEN","DENHAM",0,6,76
"147","ABERDEEN","DONCASTER",1e-04,6,77
"148","ABERDEEN","DOUNREAY",0.0095,6,78
"149","ABERDEEN","DUNDEE",0.0289,6,29
"150","ABERDEEN","DURHAM TEES VALLEY",0.0926,6,30
"151","ABERDEEN","EAST MIDLANDS INTERNATIONAL",1.3188,6,31
"152","ABERDEEN","EDINBURGH",1.3465,6,33
"153","ABERDEEN","GLASGOW",3.7918,6,38
"154","ABERDEEN","HUMBERSIDE",2.0021,6,43
"155","ABERDEEN","INVERNESS",0.146,6,44
"156","ABERDEEN","JERSEY",0.2356,6,47
"157","ABERDEEN","KINLOSS",0.0013,6,49
"158","ABERDEEN","KIRKWALL",2.6185,6,50
"159","ABERDEEN","LEEDS BRADFORD",0.7119,6,51
"160","ABERDEEN","LEUCHARS",0.005,6,52
"161","ABERDEEN","LIVERPOOL",0,6,53
"162","ABERDEEN","MANCHESTER",5.4915,6,54
"163","ABERDEEN","NEWCASTLE",1.9052,6,55
"164","ABERDEEN","NORWICH",7.6335,6,57
"165","ABERDEEN","PETERHEAD",0.0014,6,79
"166","ABERDEEN","PLYMOUTH",6e-04,6,58
"167","ABERDEEN","PRIVATE STRIPS/HELIPADS",0.0026,6,60
"168","ABERDEEN","SCATSTA",1.2525,6,80
"169","ABERDEEN","STORNOWAY",2e-04,6,62
"170","ABERDEEN","SUMBURGH",23.4661,6,64
