"apt1_apt_name","apt2_apt_name","total_pax_tp","grp_name","apt1_id","apt2_id"
"87","ABERDEEN","DURHAM TEES VALLEY",3.2732,"Other Reporting Airports",6,24
"88","ABERDEEN","EAST MIDLANDS INTERNATIONAL",1.8411,"Other Reporting Airports",6,25
"89","ABERDEEN","EXETER",0,"Other Reporting Airports",6,28
"90","ABERDEEN","FARNBOROUGH",0.0013,"Other Reporting Airports",6,30
"91","ABERDEEN","GLASGOW",0.0132,"Other Reporting Airports",6,33
"92","ABERDEEN","HUMBERSIDE",3.4178,"Other Reporting Airports",6,37
"93","ABERDEEN","INVERNESS",0.0151,"Other Reporting Airports",6,38
"94","ABERDEEN","JERSEY",0.2209,"Other Reporting Airports",6,41
"95","ABERDEEN","KIRKWALL",4.8633,"Other Reporting Airports",6,42
"96","ABERDEEN","LEEDS BRADFORD",1.2349,"Other Reporting Airports",6,44
"97","ABERDEEN","MANCHESTER",20.3347,"Other Reporting Airports",6,47
"98","ABERDEEN","NEWCASTLE",3.0759,"Other Reporting Airports",6,49
"99","ABERDEEN","NORWICH",6.3766,"Other Reporting Airports",6,51
"100","ABERDEEN","SCATSTA",16.5736,"Other Reporting Airports",6,52
"101","ABERDEEN","SOUTHAMPTON",0.9501,"Other Reporting Airports",6,54
"102","ABERDEEN","STORNOWAY",0.5476,"Other Reporting Airports",6,55
"103","ABERDEEN","SUMBURGH",11.5283,"Other Reporting Airports",6,56
"104","ABERDEEN","WICK JOHN O GROATS",1.386,"Other Reporting Airports",6,57
"105","ALDERNEY","GUERNSEY",3.673,"Other Reporting Airports",7,35
"106","ALDERNEY","JERSEY",0.0239,"Other Reporting Airports",7,41
"107","ALDERNEY","SOUTHAMPTON",2.5927,"Other Reporting Airports",7,54
"108","ANGLESEY (VALLEY)","CARDIFF WALES",0.854,"Other Reporting Airports",8,20
"109","ANGLESEY (VALLEY)","ISLE OF MAN",0.0046,"Other Reporting Airports",8,39
"110","BARRA","BENBECULA",0.0277,"Other Reporting Airports",9,12
"111","BARRA","GLASGOW",0.9133,"Other Reporting Airports",9,33
"112","BELFAST CITY (GEORGE BEST)","BIRMINGHAM",26.7168,"Other Reporting Airports",10,14
"113","BELFAST CITY (GEORGE BEST)","BLACKPOOL",0.4833,"Other Reporting Airports",10,15
"114","BELFAST CITY (GEORGE BEST)","BRISTOL",0.0448,"Other Reporting Airports",10,17
