"apt1_apt_name","apt2_apt_name","total_pax_tp","apt1_id","apt2_id"
"1","GATWICK","ABERDEEN",24.0021,0,6
"2","GATWICK","BELFAST CITY",21.0012,0,9
"3","GATWICK","BELFAST INTERNATIONAL",31.3521,0,10
"4","GATWICK","BRISTOL",0.0157,0,17
"5","GATWICK","CARDIFF WALES",0.0439,0,21
"6","GATWICK","EDINBURGH",73.9075,0,29
"7","GATWICK","GLASGOW",39.6536,0,34
"8","GATWICK","GUERNSEY",33.3694,0,36
"9","GATWICK","INVERNESS",24.7828,0,38
"10","GATWICK","ISLE OF MAN",12.9269,0,39
"11","GATWICK","JERSEY",53.1234,0,41
"12","GATWICK","LEEDS BRADFORD",0,0,44
"13","GATWICK","MANCHESTER",42.0456,0,47
"14","GATWICK","NEWCASTLE",24.7074,0,48
"15","GATWICK","NEWQUAY",4.691,0,49
"16","GATWICK","NOTTINGHAM EAST MIDLANDS INT'L",0.0078,0,54
"17","GATWICK","PLYMOUTH",6.0922,0,55
"18","GATWICK","WICK",0.0037,0,56
"19","HEATHROW","ABERDEEN",62.3555,1,6
"20","HEATHROW","BELFAST CITY",77.0055,1,9
"21","HEATHROW","BELFAST INTERNATIONAL",0,1,10
"22","HEATHROW","BIRMINGHAM",0,1,14
"23","HEATHROW","CARDIFF WALES",0,1,21
"24","HEATHROW","DUNDEE",6e-04,1,25
"25","HEATHROW","DURHAM TEES VALLEY",14.4446,1,27
"26","HEATHROW","EDINBURGH",169.63,1,29
"27","HEATHROW","EXETER",0.0075,1,30
"28","HEATHROW","FAIRFORD",0.136,1,57
"29","HEATHROW","FARNBOROUGH",5e-04,1,32
"30","HEATHROW","FILTON",0,1,33
"31","HEATHROW","GLASGOW",153.557,1,34
"32","HEATHROW","GLOUCESTERSHIRE",0,1,35
"33","HEATHROW","INVERNESS",4.6945,1,38
"34","HEATHROW","JERSEY",0,1,41
"35","HEATHROW","LEEDS BRADFORD",18.4729,1,44
"36","HEATHROW","MANCHESTER",140.1546,1,47
"37","HEATHROW","NEWCASTLE",52.0361,1,48
"38","HEATHROW","NOTTINGHAM EAST MIDLANDS INT'L",0,1,54
"39","HEATHROW","OXFORD (KIDLINGTON)",0,1,58
"40","HEATHROW","PRESTWICK",7e-04,1,59
"41","HEATHROW","WATTISHAM",0,1,60
"42","HEATHROW","WICK",2e-04,1,56
"43","LONDON CITY","ABERDEEN",0,2,6
"44","LONDON CITY","BELFAST CITY",3.394,2,9
"45","LONDON CITY","BRISTOL",0,2,17
"46","LONDON CITY","CARDIFF WALES",0,2,21
"47","LONDON CITY","DUNDEE",4.9575,2,25
"48","LONDON CITY","DURHAM TEES VALLEY",6e-04,2,27
"49","LONDON CITY","EDINBURGH",19.2283,2,29
"50","LONDON CITY","EXETER",0,2,30
"51","LONDON CITY","GLASGOW",2e-04,2,34
"52","LONDON CITY","GLOUCESTERSHIRE",0,2,35
"53","LONDON CITY","GUERNSEY",3e-04,2,36
"54","LONDON CITY","ISLE OF MAN",1.6828,2,39
"55","LONDON CITY","JERSEY",4.203,2,41
"56","LONDON CITY","LEEDS BRADFORD",0.4454,2,44
"57","LONDON CITY","LIVERPOOL",6.8275,2,45
"58","LONDON CITY","MANCHESTER",13.3669,2,47
"59","LONDON CITY","NEWCASTLE",5e-04,2,48
"60","LONDON CITY","SWANSEA",0.8407,2,61
"61","LUTON","ABERDEEN",15.5992,3,6
