"apt1_apt_name","apt2_apt_name","total_pax_tp","apt1_id","apt2_id"
"1","GATWICK","ABERDEEN",25.4671,0,6
"2","GATWICK","BELFAST CITY",23.9864,0,9
"3","GATWICK","BELFAST INTERNATIONAL",21.946,0,10
"4","GATWICK","BLACKPOOL",0,0,14
"5","GATWICK","BOURNEMOUTH",0,0,15
"6","GATWICK","BRISTOL",0,0,16
"7","GATWICK","CARDIFF WALES",0.0075,0,20
"8","GATWICK","EAST MIDLANDS",0.0147,0,26
"9","GATWICK","EDINBURGH",77.105,0,28
"10","GATWICK","GLASGOW",38.784,0,34
"11","GATWICK","GUERNSEY",32.6893,0,35
"12","GATWICK","INVERNESS",22.4472,0,38
"13","GATWICK","ISLE OF MAN",12.1587,0,39
"14","GATWICK","JERSEY",54.5313,0,41
"15","GATWICK","LEEDS BRADFORD",0.8392,0,43
"16","GATWICK","MANCHESTER",44.202,0,46
"17","GATWICK","NEWCASTLE",25.6387,0,47
"18","GATWICK","NEWQUAY",4.8349,0,54
"19","GATWICK","PLYMOUTH",5.7445,0,55
"20","GATWICK","WADDINGTON",0,0,56
"21","HEATHROW","ABERDEEN",50.729,1,6
"22","HEATHROW","BELFAST CITY",78.4822,1,9
"23","HEATHROW","BELFAST INTERNATIONAL",2.6835,1,10
"24","HEATHROW","BIRMINGHAM",0.0198,1,13
"25","HEATHROW","CARDIFF WALES",0.0572,1,20
"26","HEATHROW","DUNDEE",0,1,24
"27","HEATHROW","EAST MIDLANDS",7e-04,1,26
"28","HEATHROW","EDINBURGH",166.1897,1,28
"29","HEATHROW","EXETER",2e-04,1,29
"30","HEATHROW","FAIRFORD",0,1,31
"31","HEATHROW","FAIROAKS",0,1,57
"32","HEATHROW","FILTON",0.01,1,33
"33","HEATHROW","GLASGOW",146.5222,1,34
"34","HEATHROW","GLOUCESTERSHIRE",4e-04,1,58
"35","HEATHROW","ISLE OF MAN",0,1,39
"36","HEATHROW","JERSEY",0.0165,1,41
"37","HEATHROW","LEEDS BRADFORD",18.1043,1,43
"38","HEATHROW","LIVERPOOL",0,1,45
"39","HEATHROW","MANCHESTER",138.532,1,46
"40","HEATHROW","NEWCASTLE",49.4685,1,47
"41","HEATHROW","OXFORD (KIDLINGTON)",1e-04,1,59
"42","HEATHROW","TEESSIDE",14.5665,1,60
"43","HEATHROW","WATTISHAM",4e-04,1,61
"44","HEATHROW","WICK",0.0025,1,62
"45","LONDON CITY","ABERDEEN",1e-04,2,6
"46","LONDON CITY","BELFAST CITY",4.3325,2,9
"47","LONDON CITY","BRISTOL",0.001,2,16
