"name","country"
"1","GATWICK","England"
"2","HEATHROW","England"
"3","LONDON CITY","England"
"4","LUTON","England"
"5","SOUTHEND","England"
"6","STANSTED","England"
"7","ABERDEEN","Scotland"
"8","ALDERNEY","Channel Islands"
"9","ANGLESEY (VALLEY)","Wales"
"10","BARRA","Scotland"
"11","BARROW-IN-FURNESS","England"
"12","BECCLES","England"
"13","BELFAST CITY (GEORGE BEST)","Northern Ireland"
"14","BELFAST INTERNATIONAL","Scotland"
"15","BEMBRIDGE","England"
"16","BENBECULA","Scotland"
"17","BENSON","England"
"18","BIGGIN HILL","England"
"19","BIRMINGHAM","England"
"20","BLACKPOOL","England"
"21","BOOKER","England"
"22","BOURNEMOUTH","England"
"23","BRISTOL","England"
"24","CAMBRIDGE","England"
"25","CAMPBELTOWN","Scotland"
"26","CARDIFF WALES","Wales"
"27","CARLISLE","England"
"28","CITY OF DERRY (EGLINTON)","Northern Ireland"
"29","COMPTON ABASS","England"
"30","COVENTRY","England"
"31","DORNOCH","Scotland"
"32","DUNDEE","Scotland"
"33","DUNKESWELL","England"
"34","DURHAM TEES VALLEY","England"
"35","EAST MIDLANDS INTERNATIONAL","England"
"36","EDAY","Scotland"
"37","EDINBURGH","Scotland"
"38","EXETER","England"
"39","FAIR ISLE","Scotland"
"40","FILTON","England"
"41","GLASGOW","Scotland"
"42","GLOUCESTERSHIRE","England"
"43","GUERNSEY","Channel Islands"
"44","HUMBERSIDE","England"
"45","INVERNESS","Scotland"
"46","ISLAY","Scotland"
"47","ISLE OF MAN","Isle of Man"
"48","JERSEY","Channel Islands"
"49","KENT INTERNATIONAL","England"
"50","KIRKWALL","Scotland"
"51","LEEDS BRADFORD","England"
"52","LIVERPOOL","England"
"53","LYNEHAM","England"
"54","MANCHESTER","England"
"55","NEWCASTLE","England"
"56","NORTH RONALDSAY","Scotland"
"57","NORWICH","England"
"58","PRESTWICK","Scotland"
"59","SCATSTA","Scotland"
"60","SOUTHAMPTON","England"
"61","SUMBURGH","Scotland"
"62","WICK","Scotland"
"63","LYDD","England"
"64","PLYMOUTH","England"
"65","LEUCHARS","Scotland"
"66","NEWQUAY","England"
"67","CRANFIELD","England"
"68","DUXFORD","England"
"69","STORNOWAY","Scotland"
"70","DOUNREAY","Scotland"
"71","FLOTTA","Scotland"
"72","KINLOSS","Scotland"
"73","PETERHEAD","Scotland"
"74","UNST","Scotland"
"75","PRIVATE STRIPS/HELIPADS","Private"
"76","ST KILDA",""
"77","NORTHOLT","England"
"78","HAWARDEN","Wales"
"79","NORTH WEALD","England"
"80","LEEMING","England"
"81","ISLES OF SCILLY (ST.MARYS)","England"
"82","LANDS END (ST JUST)","England"
"83","LERWICK (TINGWALL)","Scotland"
"84","TIREE","Scotland"
"85","HATFIELD","England"
"86","SHOREHAM","England"
"87","PAPA WESTRAY","Scotland"
"88","SANDAY","Scotland"
"89","STRONSAY","Scotland"
"90","WESTRAY","Scotland"
"91","SWANSEA","Wales"
"92","ORONSAY","Scotland"
"93","SHAWBURY","Wales"
