"apt1_apt_name","apt2_apt_name","total_pax_tp","apt1_id","apt2_id"
"1","GATWICK","ABERDEEN",20.4448,0,6
"2","GATWICK","BELFAST CITY (GEORGE BEST)",21.0809,0,9
"3","GATWICK","BELFAST INTERNATIONAL",0.0316,0,10
"4","GATWICK","BIRMINGHAM",0.0239,0,14
"5","GATWICK","BOURNEMOUTH",0.0077,0,17
"6","GATWICK","CARDIFF WALES",0.0016,0,22
"7","GATWICK","CITY OF DERRY (EGLINTON)",0,0,23
"8","GATWICK","DURHAM TEES VALLEY",0.0162,0,29
"9","GATWICK","EAST MIDLANDS INTERNATIONAL",0.0194,0,30
"10","GATWICK","EDINBURGH",20.2955,0,32
"11","GATWICK","EXETER",2e-04,0,33
"12","GATWICK","FILTON",5e-04,0,35
"13","GATWICK","GLASGOW",19.0918,0,36
"14","GATWICK","GUERNSEY",18.9573,0,38
"15","GATWICK","HEATHROW",3e-04,0,1
"16","GATWICK","ISLE OF MAN",0,0,43
"17","GATWICK","JERSEY",27.6009,0,44
"18","GATWICK","LEEDS BRADFORD",2.2824,0,47
"19","GATWICK","LIVERPOOL",0.0125,0,48
"20","GATWICK","LUTON",0.0014,0,3
"21","GATWICK","LYDD",0,0,60
"22","GATWICK","MANCHESTER",25.4769,0,51
"23","GATWICK","NEWCASTLE",7.4777,0,52
"24","GATWICK","STANSTED",0,0,5
"25","HEATHROW","ABERDEEN",48.1625,1,6
"26","HEATHROW","BELFAST CITY (GEORGE BEST)",8.2089,1,9
"27","HEATHROW","BELFAST INTERNATIONAL",106.8643,1,10
"28","HEATHROW","BIRMINGHAM",0.06,1,14
"29","HEATHROW","BRISTOL",0.0519,1,18
"30","HEATHROW","CAMBRIDGE",0,1,20
"31","HEATHROW","CARDIFF WALES",0.0465,1,22
"32","HEATHROW","DURHAM TEES VALLEY",17.5811,1,29
"33","HEATHROW","EAST MIDLANDS INTERNATIONAL",0.066,1,30
"34","HEATHROW","EDINBURGH",147.8916,1,32
"35","HEATHROW","FAIRFORD",0.04,1,61
"36","HEATHROW","FARNBOROUGH",0.0098,1,62
"37","HEATHROW","GLASGOW",142.9358,1,36
"38","HEATHROW","GUERNSEY",9.015,1,38
"39","HEATHROW","HUMBERSIDE",0.02,1,40
"40","HEATHROW","INVERNESS",19.554,1,41
"41","HEATHROW","ISLE OF MAN",11.6819,1,43
"42","HEATHROW","JERSEY",25.9267,1,44
"43","HEATHROW","KENT INTERNATIONAL",0.0347,1,45
"44","HEATHROW","LEEDS BRADFORD",19.1888,1,47
"45","HEATHROW","LEUCHARS",0.0129,1,63
"46","HEATHROW","LIVERPOOL",0.024,1,48
"47","HEATHROW","LUTON",0.02,1,3
"48","HEATHROW","MANCHESTER",102.4608,1,51
"49","HEATHROW","NEWCASTLE",42.3677,1,52
"50","HEATHROW","NEWQUAY",2.8082,1,64
