"name","country"
"1","GATWICK","England"
"2","HEATHROW","England"
"3","LONDON CITY","England"
"4","LUTON","England"
"5","SOUTHEND","England"
"6","STANSTED","England"
"7","ABERDEEN","Scotland"
"8","ALDERNEY","Channel Islands"
"9","ANGLESEY (VALLEY)","Wales"
"10","BARRA","Scotland"
"11","BELFAST CITY (GEORGE BEST)","Northern Ireland"
"12","BELFAST INTERNATIONAL","Scotland"
"13","BENBECULA","Scotland"
"14","BIGGIN HILL","England"
"15","BIRMINGHAM","England"
"16","BLACKPOOL","England"
"17","BOURNEMOUTH","England"
"18","BRISTOL","England"
"19","CAMBRIDGE","England"
"20","CAMPBELTOWN","Scotland"
"21","CARDIFF WALES","Wales"
"22","CITY OF DERRY (EGLINTON)","Northern Ireland"
"23","DONCASTER SHEFFIELD","England"
"24","DUNDEE","Scotland"
"25","DURHAM TEES VALLEY","England"
"26","EAST MIDLANDS INTERNATIONAL","England"
"27","EDAY","Scotland"
"28","EDINBURGH","Scotland"
"29","EXETER","England"
"30","FAIR ISLE","Scotland"
"31","FARNBOROUGH","England"
"32","FILTON","England"
"33","FOULA","Scotland"
"34","GLASGOW","Scotland"
"35","GLOUCESTERSHIRE","England"
"36","GUERNSEY","Channel Islands"
"37","HUMBERSIDE","England"
"38","INVERNESS","Scotland"
"39","ISLAY","Scotland"
"40","ISLE OF MAN","Isle of Man"
"41","ISLES OF SCILLY (ST.MARYS)","England"
"42","JERSEY","Channel Islands"
"43","KIRKWALL","Scotland"
"44","LANDS END (ST JUST)","England"
"45","LEEDS BRADFORD","England"
"46","LERWICK (TINGWALL)","Scotland"
"47","LIVERPOOL (JOHN LENNON)","England"
"48","MANCHESTER","England"
"49","MANSTON (KENT INT)","England"
"50","NEWCASTLE","England"
"51","NEWQUAY","England"
"52","OBAN (NORTH CONNEL)","Scotland"
"53","OXFORD (KIDLINGTON)","England"
"54","SOUTH MARSTON","England"
"55","SOUTHAMPTON","England"
"56","NORWICH","England"
"57","PLYMOUTH","England"
"58","WICK","Scotland"
"59","PRESTWICK","Scotland"
"60","SCATSTA","Scotland"
"61","STORNOWAY","Scotland"
"62","SUMBURGH","Scotland"
"63","WARTON","England"
"64","HAWARDEN","Wales"
"65","TIREE","Scotland"
"66","NORTH RONALDSAY","Scotland"
"67","PAPA WESTRAY","Scotland"
"68","SANDAY","Scotland"
"69","STRONSAY","Scotland"
"70","WESTRAY","Scotland"
"71","OUT SKERRIES","Scotland"
"72","PAPA STOUR","Scotland"
