"name","country"
"1","GATWICK","England"
"2","HEATHROW","England"
"3","LONDON CITY","England"
"4","LUTON","England"
"5","SOUTHEND","England"
"6","STANSTED","England"
"7","ABERDEEN","Scotland"
"8","ALDERNEY","Channel Islands"
"9","BARRA","Scotland"
"10","BELFAST CITY","Northern Ireland"
"11","BELFAST INTERNATIONAL","Scotland"
"12","BENBECULA","Scotland"
"13","BIGGIN HILL","England"
"14","BIRMINGHAM","England"
"15","BLACKPOOL","England"
"16","BOURNEMOUTH","England"
"17","BRISTOL","England"
"18","CAMBRIDGE","England"
"19","CAMPBELTOWN","Scotland"
"20","CARDIFF WALES","Wales"
"21","CITY OF DERRY (EGLINTON)","Northern Ireland"
"22","COVENTRY","England"
"23","DONCASTER SHEFFIELD","England"
"24","DUNDEE","Scotland"
"25","DUNKESWELL","England"
"26","DURHAM TEES VALLEY","England"
"27","EDAY","Scotland"
"28","EDINBURGH","Scotland"
"29","EXETER","England"
"30","FAIR ISLE","Scotland"
"31","FARNBOROUGH","England"
"32","FOULA","Scotland"
"33","GLASGOW","Scotland"
"34","GUERNSEY","Channel Islands"
"35","HUMBERSIDE","England"
"36","INVERNESS","Scotland"
"37","ISLE OF MAN","Isle of Man"
"38","ISLES OF SCILLY (ST.MARYS)","England"
"39","JERSEY","Channel Islands"
"40","KENT INTERNATIONAL","England"
"41","KIRKWALL","Scotland"
"42","LANDS END (ST JUST)","England"
"43","LEEDS BRADFORD","England"
"44","LERWICK (TINGWALL)","Scotland"
"45","LEUCHARS","Scotland"
"46","LIVERPOOL","England"
"47","LYDD","England"
"48","MANCHESTER","England"
"49","NEWCASTLE","England"
"50","NEWQUAY","England"
"51","NORWICH","England"
"52","NOTTINGHAM EAST MIDLANDS INT'L","England"
"53","OUT SKERRIES","Scotland"
"54","SOUTH MARSTON","England"
"55","SOUTHAMPTON","England"
"56","STORNOWAY","Scotland"
"57","SUMBURGH","Scotland"
"58","PLYMOUTH","England"
"59","BRIZE NORTON","England"
"60","PRESTWICK","Scotland"
"61","GLOUCESTERSHIRE","England"
"62","SANDOWN","England"
"63","WICK","Scotland"
"64","LYNEHAM","England"
"65","SCATSTA","Scotland"
"66","NORTHOLT","England"
"67","KINLOSS","Scotland"
"68","ISLAY","Scotland"
"69","FAIRFORD","England"
"70","FILTON","England"
"71","TIREE","Scotland"
"72","NORTH RONALDSAY","Scotland"
"73","PAPA WESTRAY","Scotland"
"74","SANDAY","Scotland"
"75","STRONSAY","Scotland"
"76","WESTRAY","Scotland"
"77","PAPA STOUR","Scotland"
