"name","country"
"1","GATWICK","England"
"2","HEATHROW","England"
"3","LONDON CITY","England"
"4","LUTON","England"
"5","SOUTHEND","England"
"6","STANSTED","England"
"7","ABERDEEN","Scotland"
"8","ALDERNEY","Channel Islands"
"9","BARRA","Scotland"
"10","BELFAST CITY (GEORGE BEST)","Northern Ireland"
"11","BELFAST INTERNATIONAL","Scotland"
"12","BENBECULA","Scotland"
"13","BIRMINGHAM","England"
"14","BLACKPOOL","England"
"15","BOURNEMOUTH","England"
"16","BRISTOL","England"
"17","BRIZE NORTON","England"
"18","CAMBRIDGE","England"
"19","CAMPBELTOWN","Scotland"
"20","CARDIFF WALES","Wales"
"21","CARLISLE","England"
"22","CITY OF DERRY (EGLINTON)","Northern Ireland"
"23","COVENTRY","England"
"24","CUMBERNAULD","Scotland"
"25","DONCASTER SHEFFIELD","England"
"26","DUNDEE","Scotland"
"27","DURHAM TEES VALLEY","England"
"28","EAST MIDLANDS INTERNATIONAL","England"
"29","EDAY","Scotland"
"30","EDINBURGH","Scotland"
"31","ENNISKILLEN","Northern Ireland"
"32","EXETER","England"
"33","FAIR ISLE","Scotland"
"34","FILTON","England"
"35","GLASGOW","Scotland"
"36","GLOUCESTERSHIRE","England"
"37","GUERNSEY","Channel Islands"
"38","HAWARDEN","Wales"
"39","HUMBERSIDE","England"
"40","INVERNESS","Scotland"
"41","ISLE OF MAN","Isle of Man"
"42","JERSEY","Channel Islands"
"43","KENT INTERNATIONAL","England"
"44","KIRKWALL","Scotland"
"45","LEEDS BRADFORD","England"
"46","LIVERPOOL","England"
"47","LLANBEDR","Wales"
"48","MANCHESTER","England"
"49","NEWCASTLE","England"
"50","NORWICH","England"
"51","SOUTH MARSTON","England"
"52","SUMBURGH","Scotland"
"53","UNST","Scotland"
"54","LEUCHARS","Scotland"
"55","PRESTWICK","Scotland"
"56","FAIRFORD","England"
"57","FARNBOROUGH","England"
"58","KINROSS","Scotland"
"59","NEWQUAY","England"
"60","PLYMOUTH","England"
"61","SOUTHAMPTON","England"
"62","WOODFORD","England"
"63","WICK","Scotland"
"64","STORNOWAY","Scotland"
"65","TIREE","Scotland"
"66","KINLOSS","Scotland"
"67","LYDD","England"
"68","ISLES OF SCILLY (ST.MARYS)","England"
"69","LERWICK (TINGWALL)","Scotland"
"70","ISLAY","Scotland"
"71","MARHAM(KINGS LYNN)","England"
"72","NORTH RONALDSAY","Scotland"
"73","PAPA WESTRAY","Scotland"
"74","SANDAY","Scotland"
"75","STRONSAY","Scotland"
"76","WESTRAY","Scotland"
"77","NORTHOLT","England"
