"","year","average.path.length.g.","diameter.g.","transitivity.g.","ecount.g.","vcount.g."
"1",2001-04-09,2.01332525741975,5,0.464239728432635,439,84
"2",1990-04-09,2.0495867768595,5,0.490235572291794,525,111
"3",1991-04-09,2.05243619489559,5,0.486053719008264,526,106
"4",1992-04-09,2.07612095933264,5,0.456168313675486,463,95
"5",1993-04-09,2.07386990077178,5,0.477249747219414,436,93
"6",1994-04-09,1.94993141289438,4,0.513326987148977,416,88
"7",1995-04-09,1.94805194805195,4,0.535097813578826,392,77
"8",1996-04-09,1.9543666404406,4,0.515168618597432,374,77
"9",2002-04-09,2.02417302798982,5,0.465412004069176,410,83
"10",2003-04-09,1.99860917941586,4,0.448003327787022,387,82
"11",2004-04-09,1.98380829015544,5,0.444084068500259,397,79
"12",2005-04-09,1.92205767731878,5,0.457174638487208,394,76
"13",2006-04-09,1.89800613496933,5,0.469628727936701,424,77
"14",2007-04-09,1.90749601275917,4,0.455251381942616,407,78
"15",2008-04-09,1.94179104477612,4,0.454369682907966,410,77
"16",2009-04-09,1.94048551292091,4,0.460029360736688,400,75
"17",2010-04-09,1.95969125214408,4,0.449101796407186,367,72
"18",2011-04-09,1.86254295532646,4,0.469752453493482,374,72
"19",2013-04-09,2.040625,5,0.481702763256161,368,72
"20",2012-04-09,2.18055555555556,5,0.494505494505495,692,73
