"","name","country"
"1","GATWICK","England"
"2","HEATHROW","England"
"3","LONDON CITY","England"
"4","LUTON","England"
"5","SOUTHEND","England"
"6","STANSTED","England"
"7","ABERDEEN","Scotland"
"8","ALDERNEY","Channel Islands"
"9","BARRA","Scotland"
"10","BELFAST CITY (GEORGE BEST)","Northern Ireland"
"11","BELFAST INTERNATIONAL","Scotland"
"12","BEMBRIDGE","England"
"13","BENBECULA","Scotland"
"14","BENSON","England"
"15","BIRMINGHAM","England"
"16","BLACKPOOL","England"
"17","BOOKER","England"
"18","BOURNEMOUTH","England"
"19","BRISTOL","England"
"20","BRIZE NORTON","England"
"21","CAMBRIDGE","England"
"22","CAMPBELTOWN","Scotland"
"23","CARDIFF WALES","Wales"
"24","CITY OF DERRY (EGLINTON)","Northern Ireland"
"25","COMPTON ABASS","England"
"26","COVENTRY","England"
"27","CUMBERNAULD","Scotland"
"28","DONCASTER SHEFFIELD","England"
"29","DUNDEE","Scotland"
"30","DURHAM TEES VALLEY","England"
"31","EAST MIDLANDS INTERNATIONAL","England"
"32","EDAY","Scotland"
"33","EDINBURGH","Scotland"
"34","EXETER","England"
"35","FAIR ISLE","Scotland"
"36","FILTON","England"
"37","GLASGOW","Scotland"
"38","GLOUCESTERSHIRE","England"
"39","GUERNSEY","Channel Islands"
"40","HAWARDEN","Wales"
"41","HUMBERSIDE","England"
"42","INVERNESS","Scotland"
"43","ISLAY","Scotland"
"44","ISLE OF MAN","Isle of Man"
"45","JERSEY","Channel Islands"
"46","KENT INTERNATIONAL","England"
"47","KIRKWALL","Scotland"
"48","LEEDS BRADFORD","England"
"49","LIVERPOOL","England"
"50","LLANBEDR","Wales"
"51","LYNEHAM","England"
"52","MANCHESTER","England"
"53","NEWCASTLE","England"
"54","NORWICH","England"
"55","PRESTWICK","Scotland"
"56","SCATSTA","Scotland"
"57","SOUTHAMPTON","England"
"58","SUMBURGH","Scotland"
"59","UNST","Scotland"
"60","WICK","Scotland"
"61","LYDD","England"
"62","FAIRFORD","England"
"63","FARNBOROUGH","England"
"64","LEUCHARS","Scotland"
"65","NEWQUAY","England"
"66","PLYMOUTH","England"
"67","CRANFIELD","England"
"68","DUXFORD","England"
"69","WOODFORD","England"
"70","FLOTTA","Scotland"
"71","KINLOSS","Scotland"
"72","PETERHEAD","Scotland"
"73","STORNOWAY","Scotland"
"74","TIREE","Scotland"
"75","ST KILDA",""
"76","ISLES OF SCILLY (ST.MARYS)","England"
"77","NORTHOLT","England"
"78","LERWICK (TINGWALL)","Scotland"
"79","HATFIELD","England"
"80","MARHAM(KINGS LYNN)","England"
"81","SOUTH MARSTON","England"
"82","NORTH RONALDSAY","Scotland"
"83","PAPA WESTRAY","Scotland"
"84","SANDAY","Scotland"
"85","STRONSAY","Scotland"
"86","WESTRAY","Scotland"
"87","SWANSEA","Wales"
"88","ORONSAY","Scotland"
